mesh name,flip_x,flip_y,flip_z
m1518.ply,1.0,1.0,1.0
m1120.ply,1.0,1.0,1.0
m1134.ply,1.0,1.0,1.0
m1487.ply,1.0,1.0,1.0
m1493.ply,1.0,1.0,1.0
m1322.ply,1.0,1.0,1.0
m1444.ply,1.0,-1.0,-1.0
m1450.ply,1.0,1.0,1.0
m1336.ply,1.0,1.0,1.0
m1478.ply,1.0,1.0,1.0
m1332.ply,1.0,1.0,1.0
m1454.ply,1.0,1.0,1.0
m1440.ply,1.0,-1.0,-1.0
m1326.ply,1.0,1.0,1.0
m1468.ply,1.0,1.0,1.0
m1497.ply,1.0,1.0,1.0
m1483.ply,1.0,-1.0,-1.0
m1130.ply,1.0,1.0,1.0
m1124.ply,1.0,1.0,1.0
m1118.ply,1.0,1.0,1.0
m1246.ply,1.0,1.0,1.0
m1520.ply,1.0,1.0,1.0
m1534.ply,1.0,-1.0,-1.0
m1252.ply,1.0,1.0,1.0
m1508.ply,1.0,1.0,1.0
m1285.ply,1.0,1.0,1.0
m1291.ply,1.0,1.0,1.0
m1290.ply,1.0,1.0,1.0
m1284.ply,1.0,1.0,1.0
m1509.ply,1.0,1.0,1.0
m1535.ply,1.0,1.0,1.0
m1253.ply,1.0,1.0,1.0
m1247.ply,1.0,1.0,1.0
m1521.ply,1.0,1.0,1.0
m1119.ply,1.0,1.0,1.0
m1125.ply,1.0,1.0,1.0
m1131.ply,1.0,1.0,1.0
m1482.ply,1.0,1.0,1.0
m1496.ply,1.0,1.0,1.0
m1469.ply,1.0,1.0,1.0
m1441.ply,1.0,1.0,1.0
m1327.ply,1.0,-1.0,-1.0
m1333.ply,1.0,1.0,1.0
m1455.ply,1.0,1.0,1.0
m1325.ply,-1.0,1.0,-1.0
m1443.ply,1.0,1.0,1.0
m1457.ply,1.0,1.0,1.0
m1331.ply,1.0,1.0,1.0
m1319.ply,1.0,1.0,1.0
m1480.ply,1.0,1.0,1.0
m1494.ply,1.0,1.0,1.0
m1127.ply,1.0,1.0,1.0
m1133.ply,1.0,1.0,1.0
m1251.ply,1.0,-1.0,-1.0
m1537.ply,1.0,-1.0,-1.0
m1523.ply,1.0,1.0,1.0
m1245.ply,1.0,1.0,1.0
m1279.ply,1.0,1.0,1.0
m1292.ply,1.0,1.0,1.0
m1286.ply,1.0,1.0,1.0
m1287.ply,1.0,1.0,1.0
m1293.ply,1.0,1.0,1.0
m1278.ply,1.0,1.0,1.0
m1522.ply,1.0,1.0,1.0
m1244.ply,1.0,1.0,1.0
m1250.ply,1.0,1.0,1.0
m1536.ply,1.0,1.0,1.0
m1132.ply,1.0,1.0,1.0
m1126.ply,1.0,1.0,1.0
m1495.ply,1.0,1.0,1.0
m1481.ply,1.0,1.0,1.0
m1318.ply,1.0,1.0,1.0
m1456.ply,1.0,1.0,1.0
m1330.ply,1.0,1.0,1.0
m1324.ply,1.0,1.0,1.0
m1442.ply,1.0,1.0,1.0
m1419.ply,1.0,1.0,1.0
m1343.ply,1.0,1.0,1.0
m1425.ply,1.0,1.0,1.0
m1431.ply,1.0,1.0,1.0
m1357.ply,1.0,1.0,1.0
m1380.ply,1.0,1.0,1.0
m1394.ply,1.0,-1.0,-1.0
m1169.ply,1.0,-1.0,-1.0
m1141.ply,1.0,1.0,1.0
m1155.ply,1.0,1.0,1.0
m1182.ply,1.0,1.0,1.0
m1196.ply,1.0,1.0,1.0
m1579.ply,1.0,1.0,1.0
m1237.ply,1.0,1.0,1.0
m1551.ply,1.0,1.0,1.0
m1545.ply,-1.0,-1.0,1.0
m1223.ply,1.0,1.0,1.0
m1586.ply,1.0,1.0,1.0
m1587.ply,1.0,1.0,1.0
m740.ply,1.0,1.0,1.0
m1544.ply,1.0,1.0,1.0
m1222.ply,1.0,1.0,1.0
m1236.ply,1.0,1.0,1.0
m1550.ply,1.0,1.0,1.0
m1578.ply,1.0,1.0,1.0
m1197.ply,1.0,1.0,1.0
m1183.ply,1.0,1.0,1.0
m1154.ply,1.0,1.0,1.0
m1140.ply,1.0,1.0,1.0
m1168.ply,1.0,1.0,1.0
m1395.ply,1.0,-1.0,-1.0
m1381.ply,1.0,1.0,1.0
m1430.ply,1.0,1.0,1.0
m1356.ply,1.0,1.0,1.0
m1342.ply,1.0,1.0,1.0
m1424.ply,1.0,1.0,1.0
m1418.ply,1.0,1.0,1.0
m1368.ply,1.0,1.0,1.0
m1354.ply,1.0,1.0,1.0
m1432.ply,1.0,1.0,1.0
m1426.ply,1.0,1.0,1.0
m1340.ply,1.0,1.0,1.0
m1397.ply,1.0,1.0,1.0
m1383.ply,1.0,1.0,1.0
m1156.ply,1.0,1.0,1.0
m1142.ply,1.0,1.0,1.0
m1195.ply,1.0,1.0,1.0
m1181.ply,1.0,1.0,1.0
m1208.ply,1.0,1.0,1.0
m1220.ply,1.0,1.0,1.0
m1546.ply,1.0,1.0,1.0
m1552.ply,1.0,1.0,1.0
m1234.ply,1.0,1.0,1.0
m1585.ply,1.0,1.0,1.0
m1584.ply,1.0,1.0,1.0
m1553.ply,-1.0,1.0,-1.0
m1235.ply,1.0,1.0,1.0
m1221.ply,1.0,1.0,1.0
m1547.ply,1.0,1.0,1.0
m1209.ply,1.0,1.0,1.0
m1180.ply,1.0,1.0,1.0
m1194.ply,1.0,1.0,1.0
m1143.ply,1.0,1.0,1.0
m1157.ply,1.0,1.0,1.0
m1382.ply,1.0,1.0,1.0
m1396.ply,1.0,1.0,1.0
m1427.ply,1.0,1.0,1.0
m1341.ply,1.0,1.0,1.0
m1355.ply,1.0,-1.0,-1.0
m1433.ply,1.0,1.0,1.0
m1369.ply,1.0,1.0,-1.0
m1437.ply,1.0,1.0,1.0
m1351.ply,1.0,1.0,1.0
m1345.ply,1.0,1.0,1.0
m1423.ply,1.0,-1.0,-1.0
m1379.ply,1.0,1.0,1.0
m1392.ply,1.0,1.0,1.0
m1386.ply,1.0,1.0,1.0
m1153.ply,1.0,1.0,1.0
m1147.ply,1.0,1.0,1.0
m1190.ply,1.0,1.0,1.0
m1184.ply,1.0,1.0,1.0
m1543.ply,1.0,1.0,1.0
m1225.ply,1.0,1.0,1.0
m1231.ply,1.0,1.0,1.0
m1557.ply,1.0,1.0,1.0
m1219.ply,1.0,1.0,1.0
m1580.ply,1.0,1.0,1.0
m1581.ply,1.0,1.0,1.0
m1218.ply,1.0,1.0,1.0
m1230.ply,1.0,1.0,1.0
m1556.ply,1.0,1.0,1.0
m1542.ply,1.0,1.0,1.0
m1224.ply,1.0,1.0,1.0
m1185.ply,1.0,1.0,1.0
m1191.ply,1.0,1.0,1.0
m1146.ply,1.0,1.0,1.0
m1152.ply,-1.0,1.0,-1.0
m1387.ply,1.0,1.0,1.0
m1393.ply,1.0,1.0,1.0
m1378.ply,1.0,1.0,1.0
m1344.ply,-1.0,-1.0,1.0
m1422.ply,1.0,1.0,1.0
m1436.ply,1.0,1.0,1.0
m1350.ply,1.0,1.0,1.0
m1420.ply,1.0,1.0,1.0
m1346.ply,1.0,1.0,1.0
m1352.ply,1.0,1.0,1.0
m1434.ply,1.0,1.0,1.0
m1408.ply,1.0,1.0,1.0
m1385.ply,1.0,1.0,1.0
m1391.ply,1.0,1.0,1.0
m1144.ply,1.0,1.0,1.0
m1150.ply,1.0,1.0,1.0
m1178.ply,1.0,1.0,1.0
m1187.ply,1.0,1.0,1.0
m1193.ply,1.0,1.0,1.0
m1554.ply,1.0,1.0,1.0
m1232.ply,1.0,1.0,1.0
m1226.ply,1.0,1.0,1.0
m1540.ply,1.0,1.0,1.0
m1568.ply,1.0,1.0,1.0
m1583.ply,1.0,1.0,1.0
m1582.ply,1.0,-1.0,-1.0
m1569.ply,1.0,1.0,-1.0
m1227.ply,1.0,1.0,1.0
m1541.ply,-1.0,-1.0,1.0
m1555.ply,1.0,-1.0,-1.0
m1233.ply,1.0,1.0,1.0
m1192.ply,1.0,1.0,1.0
m1186.ply,1.0,1.0,1.0
m1179.ply,1.0,1.0,1.0
m1151.ply,1.0,1.0,1.0
m1145.ply,-1.0,1.0,-1.0
m1390.ply,1.0,1.0,1.0
m1384.ply,1.0,1.0,1.0
m1409.ply,1.0,1.0,1.0
m1353.ply,1.0,1.0,1.0
m1435.ply,1.0,-1.0,-1.0
m1421.ply,1.0,1.0,1.0
m1347.ply,1.0,1.0,1.0
m1438.ply,1.0,1.0,1.0
m1362.ply,-1.0,1.0,-1.0
m1404.ply,1.0,1.0,1.0
m1410.ply,1.0,1.0,1.0
m1376.ply,1.0,1.0,1.0
m1389.ply,1.0,1.0,1.0
m1148.ply,1.0,1.0,1.0
m1160.ply,1.0,1.0,1.0
m1174.ply,1.0,1.0,1.0
m1558.ply,1.0,1.0,1.0
m1216.ply,1.0,1.0,1.0
m1570.ply,1.0,1.0,1.0
m1564.ply,1.0,1.0,1.0
m1202.ply,1.0,1.0,1.0
m1565.ply,1.0,-1.0,-1.0
m1203.ply,1.0,1.0,1.0
m1217.ply,1.0,1.0,1.0
m1571.ply,-1.0,1.0,-1.0
m1559.ply,1.0,-1.0,-1.0
m1175.ply,1.0,1.0,1.0
m1161.ply,1.0,1.0,1.0
m1149.ply,1.0,1.0,1.0
m1388.ply,1.0,1.0,1.0
m1411.ply,1.0,1.0,1.0
m1377.ply,1.0,1.0,1.0
m1363.ply,-1.0,1.0,-1.0
m1405.ply,1.0,1.0,1.0
m1439.ply,1.0,1.0,1.0
m1349.ply,1.0,1.0,1.0
m1375.ply,1.0,1.0,1.0
m1413.ply,1.0,1.0,1.0
m1407.ply,1.0,1.0,1.0
m1361.ply,1.0,1.0,1.0
m1177.ply,1.0,1.0,1.0
m1163.ply,1.0,1.0,1.0
m1188.ply,1.0,1.0,1.0
m1229.ply,1.0,1.0,1.0
m1201.ply,1.0,1.0,1.0
m1567.ply,1.0,1.0,1.0
m1573.ply,1.0,1.0,1.0
m1215.ply,1.0,1.0,1.0
m1572.ply,1.0,-1.0,1.0
m1214.ply,1.0,1.0,1.0
m1200.ply,1.0,1.0,1.0
m1566.ply,1.0,1.0,1.0
m1228.ply,1.0,1.0,1.0
m1189.ply,1.0,1.0,1.0
m1162.ply,1.0,1.0,1.0
m1176.ply,1.0,1.0,1.0
m1406.ply,1.0,1.0,1.0
m1360.ply,1.0,-1.0,-1.0
m1374.ply,1.0,1.0,1.0
m1412.ply,-1.0,-1.0,-1.0
m1348.ply,1.0,1.0,1.0
m1416.ply,1.0,1.0,1.0
m1370.ply,1.0,1.0,1.0
m1364.ply,1.0,-1.0,-1.0
m1402.ply,1.0,1.0,1.0
m1358.ply,1.0,1.0,1.0
m1172.ply,1.0,1.0,1.0
m1166.ply,1.0,1.0,1.0
m1199.ply,1.0,-1.0,-1.0
m1562.ply,1.0,-1.0,-1.0
m1204.ply,1.0,1.0,1.0
m1210.ply,1.0,1.0,1.0
m1576.ply,1.0,-1.0,-1.0
m1238.ply,1.0,1.0,1.0
m1588.ply,1.0,-1.0,-1.0
m1239.ply,1.0,1.0,1.0
m1211.ply,1.0,1.0,1.0
m1577.ply,1.0,1.0,1.0
m1563.ply,1.0,1.0,1.0
m1205.ply,1.0,1.0,1.0
m1198.ply,1.0,1.0,1.0
m1167.ply,1.0,1.0,1.0
m1173.ply,1.0,1.0,1.0
m1359.ply,1.0,1.0,1.0
m1365.ply,1.0,1.0,1.0
m1403.ply,1.0,1.0,1.0
m1417.ply,1.0,1.0,1.0
m1371.ply,1.0,1.0,1.0
m1401.ply,1.0,1.0,1.0
m1367.ply,1.0,1.0,1.0
m1373.ply,1.0,1.0,1.0
m1415.ply,1.0,1.0,1.0
m1429.ply,1.0,1.0,1.0
m1398.ply,1.0,1.0,1.0
m1165.ply,1.0,1.0,1.0
m1171.ply,1.0,1.0,1.0
m1159.ply,-1.0,1.0,-1.0
m1575.ply,1.0,1.0,1.0
m1213.ply,1.0,1.0,1.0
m1207.ply,1.0,1.0,1.0
m1561.ply,1.0,1.0,1.0
m1549.ply,1.0,1.0,1.0
m1548.ply,-1.0,-1.0,1.0
m1206.ply,1.0,1.0,1.0
m1560.ply,1.0,1.0,1.0
m1574.ply,1.0,1.0,1.0
m1212.ply,1.0,1.0,1.0
m1158.ply,1.0,1.0,1.0
m1170.ply,1.0,1.0,1.0
m1164.ply,1.0,1.0,1.0
m1399.ply,1.0,1.0,1.0
m1428.ply,1.0,1.0,1.0
m1372.ply,1.0,1.0,1.0
m1414.ply,-1.0,1.0,-1.0
m1400.ply,1.0,-1.0,-1.0
m1366.ply,1.0,1.0,1.0
m1329.ply,1.0,-1.0,-1.0
m1467.ply,1.0,1.0,1.0
m1301.ply,1.0,1.0,1.0
m1315.ply,1.0,1.0,1.0
m1473.ply,1.0,1.0,1.0
m1498.ply,1.0,1.0,1.0
m1249.ply,1.0,1.0,1.0
m1513.ply,-1.0,1.0,-1.0
m1275.ply,1.0,1.0,1.0
m1261.ply,1.0,1.0,1.0
m1507.ply,1.0,1.0,1.0
m1260.ply,1.0,1.0,1.0
m1506.ply,1.0,1.0,1.0
m1512.ply,1.0,1.0,1.0
m1274.ply,1.0,1.0,1.0
m1248.ply,1.0,1.0,1.0
m1499.ply,1.0,1.0,1.0
m1314.ply,1.0,1.0,1.0
m1472.ply,1.0,1.0,1.0
m1466.ply,1.0,1.0,1.0
m1300.ply,1.0,1.0,1.0
m1328.ply,1.0,1.0,1.0
m1458.ply,-1.0,1.0,-1.0
m1470.ply,1.0,1.0,1.0
m1316.ply,1.0,1.0,1.0
m1302.ply,1.0,1.0,1.0
m1464.ply,1.0,1.0,1.0
m1128.ply,1.0,1.0,1.0
m1538.ply,1.0,1.0,1.0
m1504.ply,1.0,1.0,1.0
m1262.ply,1.0,1.0,1.0
m1276.ply,1.0,1.0,1.0
m1510.ply,1.0,1.0,1.0
m1289.ply,1.0,1.0,1.0
m1288.ply,1.0,1.0,1.0
m1277.ply,1.0,1.0,1.0
m1511.ply,1.0,1.0,1.0
m1505.ply,1.0,1.0,1.0
m1263.ply,1.0,1.0,1.0
m1539.ply,1.0,1.0,1.0
m1129.ply,1.0,1.0,1.0
m1303.ply,-1.0,-1.0,-1.0
m1465.ply,1.0,1.0,1.0
m1471.ply,1.0,1.0,1.0
m1317.ply,1.0,1.0,1.0
m1459.ply,1.0,1.0,1.0
m1313.ply,1.0,1.0,1.0
m1475.ply,1.0,1.0,1.0
m1461.ply,1.0,-1.0,-1.0
m1307.ply,1.0,1.0,1.0
m1449.ply,1.0,1.0,1.0
m1139.ply,1.0,1.0,1.0
m1267.ply,1.0,1.0,1.0
m1501.ply,1.0,1.0,1.0
m1515.ply,1.0,1.0,1.0
m1273.ply,1.0,1.0,1.0
m1529.ply,-1.0,1.0,-1.0
m739.ply,1.0,1.0,1.0
m1298.ply,1.0,1.0,1.0
m1299.ply,1.0,1.0,1.0
m738.ply,1.0,1.0,1.0
m1528.ply,1.0,1.0,1.0
m1514.ply,1.0,1.0,1.0
m1272.ply,-1.0,1.0,-1.0
m1266.ply,1.0,1.0,1.0
m1500.ply,1.0,1.0,1.0
m1138.ply,1.0,1.0,1.0
m1448.ply,-1.0,1.0,-1.0
m1460.ply,1.0,1.0,1.0
m1306.ply,1.0,1.0,1.0
m1312.ply,1.0,1.0,1.0
m1474.ply,1.0,1.0,1.0
m1304.ply,1.0,1.0,1.0
m1462.ply,1.0,1.0,1.0
m1476.ply,1.0,1.0,1.0
m1310.ply,1.0,1.0,1.0
m1338.ply,1.0,1.0,1.0
m1489.ply,1.0,1.0,1.0
m1270.ply,1.0,1.0,1.0
m1516.ply,1.0,1.0,1.0
m1502.ply,-1.0,1.0,-1.0
m1264.ply,1.0,1.0,1.0
m1258.ply,1.0,-1.0,-1.0
m1259.ply,1.0,1.0,1.0
m1503.ply,1.0,1.0,1.0
m1265.ply,1.0,1.0,1.0
m1271.ply,1.0,1.0,1.0
m1517.ply,-1.0,-1.0,1.0
m1488.ply,1.0,1.0,1.0
m1339.ply,1.0,1.0,1.0
m1477.ply,-1.0,1.0,-1.0
m1311.ply,1.0,1.0,1.0
m1305.ply,1.0,1.0,1.0
m1463.ply,1.0,1.0,1.0
m1056.ply,1.0,-1.0,-1.0
m1042.ply,-1.0,1.0,-1.0
m1095.ply,1.0,-1.0,-1.0
m1081.ply,1.0,-1.0,1.0
m1080.ply,-1.0,1.0,1.0
m1094.ply,1.0,-1.0,-1.0
m1043.ply,-1.0,-1.0,1.0
m1057.ply,1.0,1.0,1.0
m1069.ply,1.0,-1.0,-1.0
m1041.ply,-1.0,-1.0,-1.0
m1055.ply,-1.0,-1.0,-1.0
m1082.ply,1.0,1.0,1.0
m1096.ply,1.0,1.0,1.0
m1097.ply,1.0,1.0,1.0
m1083.ply,-1.0,1.0,-1.0
m1054.ply,-1.0,1.0,-1.0
m1040.ply,1.0,1.0,1.0
m1068.ply,1.0,1.0,-1.0
m1044.ply,1.0,1.0,1.0
m1050.ply,1.0,1.0,1.0
m1078.ply,1.0,1.0,1.0
m1087.ply,1.0,1.0,1.0
m1093.ply,1.0,-1.0,-1.0
m1092.ply,1.0,1.0,1.0
m1086.ply,1.0,1.0,1.0
m1079.ply,1.0,1.0,1.0
m1051.ply,-1.0,1.0,-1.0
m1045.ply,-1.0,1.0,1.0
m1053.ply,1.0,1.0,1.0
m1047.ply,-1.0,1.0,-1.0
m1090.ply,1.0,1.0,1.0
m1084.ply,-1.0,1.0,-1.0
m1085.ply,-1.0,1.0,-1.0
m1091.ply,-1.0,1.0,-1.0
m1046.ply,1.0,1.0,1.0
m1052.ply,1.0,1.0,1.0
m1009.ply,1.0,1.0,1.0
m1035.ply,1.0,1.0,1.0
m1021.ply,1.0,1.0,1.0
m966.ply,-1.0,-1.0,-1.0
m972.ply,1.0,1.0,1.0
m999.ply,1.0,1.0,1.0
m998.ply,1.0,1.0,1.0
m973.ply,1.0,1.0,1.0
m967.ply,1.0,-1.0,-1.0
m1020.ply,-1.0,1.0,-1.0
m1034.ply,1.0,1.0,1.0
m1008.ply,1.0,1.0,1.0
m1022.ply,1.0,1.0,1.0
m1036.ply,1.0,1.0,1.0
m971.ply,1.0,1.0,1.0
m965.ply,-1.0,1.0,-1.0
m964.ply,1.0,1.0,1.0
m970.ply,-1.0,-1.0,1.0
m1037.ply,1.0,1.0,1.0
m1023.ply,1.0,1.0,1.0
m1027.ply,1.0,1.0,1.0
m1033.ply,1.0,1.0,1.0
m974.ply,1.0,1.0,1.0
m961.ply,-1.0,1.0,-1.0
m975.ply,1.0,1.0,1.0
m1032.ply,1.0,1.0,1.0
m1026.ply,1.0,1.0,1.0
m1030.ply,1.0,1.0,1.0
m1024.ply,-1.0,-1.0,1.0
m1018.ply,1.0,-1.0,-1.0
m963.ply,-1.0,-1.0,-1.0
m977.ply,1.0,1.0,1.0
m988.ply,1.0,1.0,1.0
m989.ply,1.0,-1.0,-1.0
m976.ply,1.0,1.0,1.0
m962.ply,-1.0,-1.0,1.0
m1019.ply,1.0,-1.0,-1.0
m1025.ply,1.0,1.0,1.0
m1031.ply,1.0,1.0,1.0
m1028.ply,1.0,1.0,1.0
m1014.ply,-1.0,1.0,-1.0
m1000.ply,-1.0,-1.0,1.0
m984.ply,1.0,1.0,1.0
m990.ply,1.0,1.0,1.0
m991.ply,-1.0,1.0,-1.0
m985.ply,-1.0,-1.0,-1.0
m1001.ply,-1.0,1.0,-1.0
m1015.ply,1.0,1.0,1.0
m1029.ply,1.0,1.0,1.0
m1003.ply,-1.0,1.0,-1.0
m1017.ply,1.0,1.0,1.0
m978.ply,1.0,1.0,1.0
m993.ply,1.0,1.0,1.0
m987.ply,1.0,1.0,1.0
m986.ply,1.0,1.0,1.0
m992.ply,1.0,1.0,1.0
m979.ply,1.0,-1.0,-1.0
m1016.ply,1.0,1.0,1.0
m1002.ply,1.0,1.0,1.0
m1006.ply,-1.0,1.0,-1.0
m1012.ply,1.0,1.0,1.0
m969.ply,-1.0,-1.0,-1.0
m996.ply,1.0,1.0,1.0
m982.ply,1.0,1.0,1.0
m983.ply,1.0,1.0,1.0
m997.ply,1.0,1.0,1.0
m968.ply,1.0,-1.0,-1.0
m1013.ply,1.0,1.0,1.0
m1007.ply,1.0,1.0,1.0
m1011.ply,1.0,1.0,1.0
m1005.ply,1.0,1.0,1.0
m1039.ply,1.0,-1.0,-1.0
m981.ply,1.0,1.0,1.0
m995.ply,1.0,1.0,1.0
m994.ply,1.0,1.0,1.0
m980.ply,1.0,1.0,1.0
m1038.ply,1.0,1.0,1.0
m1004.ply,-1.0,1.0,-1.0
m1010.ply,1.0,1.0,1.0
m1077.ply,1.0,1.0,1.0
m1063.ply,1.0,1.0,1.0
m1088.ply,-1.0,-1.0,-1.0
m1089.ply,1.0,1.0,1.0
m1062.ply,1.0,1.0,1.0
m1076.ply,-1.0,1.0,-1.0
m1048.ply,1.0,1.0,-1.0
m1060.ply,1.0,1.0,1.0
m1074.ply,1.0,1.0,1.0
m1075.ply,1.0,1.0,1.0
m1061.ply,1.0,1.0,1.0
m1049.ply,1.0,-1.0,-1.0
m1065.ply,-1.0,1.0,1.0
m1071.ply,1.0,-1.0,-1.0
m1059.ply,1.0,1.0,1.0
m1058.ply,1.0,1.0,1.0
m1070.ply,1.0,1.0,1.0
m1064.ply,-1.0,-1.0,1.0
m1072.ply,1.0,1.0,1.0
m1066.ply,-1.0,1.0,-1.0
m1098.ply,1.0,1.0,1.0
m1067.ply,-1.0,1.0,-1.0
m1073.ply,1.0,1.0,1.0
m1678.ply,1.0,1.0,1.0
m1644.ply,1.0,1.0,1.0
m1650.ply,-1.0,1.0,-1.0
m332.ply,1.0,1.0,1.0
m326.ply,1.0,1.0,1.0
m1687.ply,1.0,1.0,1.0
m1693.ply,1.0,1.0,1.0
m285.ply,1.0,1.0,1.0
m291.ply,1.0,1.0,1.0
m520.ply,1.0,1.0,1.0
m736.ply,1.0,1.0,1.0
m290.ply,1.0,1.0,1.0
m284.ply,1.0,1.0,1.0
m1692.ply,1.0,1.0,1.0
m1686.ply,1.0,1.0,1.0
m327.ply,1.0,1.0,1.0
m333.ply,1.0,1.0,1.0
m1651.ply,-1.0,-1.0,1.0
m1645.ply,1.0,1.0,1.0
m1679.ply,1.0,1.0,1.0
m1653.ply,1.0,-1.0,-1.0
m1647.ply,1.0,1.0,1.0
m325.ply,1.0,1.0,1.0
m331.ply,1.0,1.0,1.0
m1690.ply,1.0,1.0,1.0
m319.ply,1.0,1.0,1.0
m1684.ply,1.0,1.0,1.0
m292.ply,1.0,1.0,1.0
m286.ply,1.0,1.0,1.0
m735.ply,1.0,1.0,1.0
m734.ply,-1.0,1.0,-1.0
m287.ply,1.0,1.0,1.0
m293.ply,1.0,1.0,1.0
m1685.ply,1.0,1.0,1.0
m318.ply,1.0,1.0,1.0
m1691.ply,1.0,1.0,1.0
m330.ply,1.0,1.0,1.0
m324.ply,1.0,1.0,1.0
m1646.ply,1.0,1.0,1.0
m1652.ply,-1.0,1.0,-1.0
m1656.ply,-1.0,1.0,-1.0
m1642.ply,1.0,1.0,1.0
m1695.ply,1.0,1.0,1.0
m1681.ply,1.0,1.0,1.0
m308.ply,1.0,1.0,1.0
m320.ply,1.0,1.0,1.0
m334.ply,1.0,1.0,1.0
m297.ply,1.0,1.0,1.0
m283.ply,1.0,1.0,1.0
m296.ply,1.0,1.0,1.0
m335.ply,1.0,1.0,1.0
m321.ply,1.0,1.0,1.0
m309.ply,1.0,1.0,1.0
m1680.ply,1.0,1.0,1.0
m1694.ply,1.0,1.0,1.0
m1643.ply,1.0,1.0,1.0
m1657.ply,-1.0,1.0,-1.0
m1655.ply,1.0,-1.0,1.0
m1682.ply,1.0,1.0,1.0
m1696.ply,1.0,1.0,1.0
m337.ply,1.0,1.0,1.0
m323.ply,1.0,1.0,1.0
m294.ply,1.0,1.0,1.0
m519.ply,1.0,1.0,1.0
m733.ply,1.0,1.0,1.0
m518.ply,1.0,1.0,1.0
m295.ply,1.0,1.0,1.0
m322.ply,1.0,1.0,1.0
m336.ply,1.0,1.0,1.0
m1697.ply,1.0,1.0,1.0
m1683.ply,1.0,1.0,1.0
m1654.ply,-1.0,1.0,-1.0
m621.ply,1.0,1.0,1.0
m351.ply,1.0,1.0,1.0
m1814.ply,1.0,1.0,1.0
m345.ply,1.0,1.0,1.0
m379.ply,1.0,1.0,1.0
m1784.ply,1.0,-1.0,-1.0
m741.ply,1.0,1.0,1.0
m1785.ply,1.0,1.0,1.0
m378.ply,1.0,1.0,1.0
m344.ply,1.0,-1.0,-1.0
m350.ply,1.0,1.0,1.0
m620.ply,1.0,1.0,1.0
m622.ply,1.0,1.0,1.0
m1624.ply,1.0,1.0,1.0
m346.ply,1.0,1.0,1.0
m352.ply,-1.0,1.0,-1.0
m1803.ply,1.0,1.0,1.0
m1787.ply,1.0,-1.0,-1.0
m742.ply,1.0,1.0,1.0
m743.ply,1.0,1.0,1.0
m1786.ply,1.0,1.0,1.0
m1779.ply,1.0,1.0,1.0
m353.ply,1.0,1.0,1.0
m347.ply,1.0,1.0,1.0
m1625.ply,1.0,1.0,1.0
m623.ply,1.0,1.0,1.0
m1621.ply,1.0,1.0,1.0
m380.ply,1.0,1.0,1.0
m343.ply,1.0,-1.0,-1.0
m1812.ply,1.0,1.0,1.0
m357.ply,1.0,1.0,1.0
m1806.ply,1.0,1.0,1.0
m1755.ply,1.0,1.0,1.0
m1782.ply,1.0,-1.0,-1.0
m579.ply,1.0,1.0,1.0
m747.ply,1.0,1.0,1.0
m746.ply,1.0,1.0,1.0
m578.ply,1.0,1.0,1.0
m1783.ply,1.0,-1.0,1.0
m1754.ply,1.0,1.0,1.0
m356.ply,1.0,1.0,1.0
m1813.ply,1.0,1.0,1.0
