mesh name,corner1x,corner1y,corner1z,corner2x,corner2y,corner2z,corner3x,corner3y,corner3z,corner4x,corner4y,corner4z,corner5x,corner5y,corner5z,corner6x,corner6y,corner6z,corner7x,corner7y,corner7z,corner8x,corner8y,corner8z
m737.ply,0.025,0.025,0.025,0.539529,0.025,0.025,0.539529,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.974961,0.539529,0.025,0.974961,0.539529,0.975,0.974961,0.025,0.975,0.974961
m1241.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.703854,0.025,0.025,0.703854,0.025,0.025,0.025,0.263759,0.975,0.025,0.263759,0.975,0.703854,0.263759,0.025,0.703854,0.263759
m1527.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.333125,0.025,0.025,0.333125,0.025,0.025,0.025,0.90681,0.975,0.025,0.90681,0.975,0.333125,0.90681,0.025,0.333125,0.90681
m1533.ply,0.025,0.025,0.025,0.384654,0.025,0.025,0.384654,0.287474,0.025,0.025,0.287474,0.025,0.025,0.025,0.975,0.384654,0.025,0.975,0.384654,0.287474,0.975,0.025,0.287474,0.975
m1255.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.246725,0.025,0.025,0.246725,0.025,0.025,0.025,0.50787,0.975,0.025,0.50787,0.975,0.246725,0.50787,0.025,0.246725,0.50787
m1269.ply,0.025,0.025,0.025,0.528319,0.025,0.025,0.528319,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.102679,0.528319,0.025,0.102679,0.528319,0.975,0.102679,0.025,0.975,0.102679
m1137.ply,0.025,0.025,0.025,0.461983,0.025,0.025,0.461983,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.199618,0.461983,0.025,0.199618,0.461983,0.975,0.199618,0.025,0.975,0.199618
m1123.ply,0.025,0.025,0.025,0.697675,0.025,0.025,0.697675,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.318427,0.697675,0.025,0.318427,0.697675,0.975,0.318427,0.025,0.975,0.318427
m1490.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.516427,0.025,0.025,0.516427,0.025,0.025,0.025,0.427501,0.975,0.025,0.427501,0.975,0.516427,0.427501,0.025,0.516427,0.427501
m1484.ply,0.025,0.025,0.025,0.41663,0.025,0.025,0.41663,0.556002,0.025,0.025,0.556002,0.025,0.025,0.025,0.975,0.41663,0.025,0.975,0.41663,0.556002,0.975,0.025,0.556002,0.975
m1335.ply,0.025,0.025,0.025,0.631645,0.025,0.025,0.631645,0.277127,0.025,0.025,0.277127,0.025,0.025,0.025,0.975,0.631645,0.025,0.975,0.631645,0.277127,0.975,0.025,0.277127,0.975
m1453.ply,0.025,0.025,0.025,0.440089,0.025,0.025,0.440089,0.690945,0.025,0.025,0.690945,0.025,0.025,0.025,0.975,0.440089,0.025,0.975,0.440089,0.690945,0.975,0.025,0.690945,0.975
m1447.ply,0.025,0.025,0.025,0.121877,0.025,0.025,0.121877,0.179082,0.025,0.025,0.179082,0.025,0.025,0.025,0.975,0.121877,0.025,0.975,0.121877,0.179082,0.975,0.025,0.179082,0.975
m1321.ply,0.025,0.025,0.025,0.658962,0.025,0.025,0.658962,0.279761,0.025,0.025,0.279761,0.025,0.025,0.025,0.975,0.658962,0.025,0.975,0.658962,0.279761,0.975,0.025,0.279761,0.975
m1309.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.262523,0.025,0.025,0.262523,0.025,0.025,0.025,0.652485,0.975,0.025,0.652485,0.975,0.262523,0.652485,0.025,0.262523,0.652485
m1479.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.5752,0.025,0.025,0.5752,0.025,0.025,0.025,0.48223,0.975,0.025,0.48223,0.975,0.5752,0.48223,0.025,0.5752,0.48223
m1451.ply,0.025,0.025,0.025,0.181495,0.025,0.025,0.181495,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.691454,0.181495,0.025,0.691454,0.181495,0.975,0.691454,0.025,0.975,0.691454
m1337.ply,0.025,0.025,0.025,0.889234,0.025,0.025,0.889234,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.889234,0.889234,0.025,0.889234,0.889234,0.975,0.889234,0.025,0.975,0.889234
m1323.ply,0.025,0.025,0.025,0.802266,0.025,0.025,0.802266,0.474942,0.025,0.025,0.474942,0.025,0.025,0.025,0.975,0.802266,0.025,0.975,0.802266,0.474942,0.975,0.025,0.474942,0.975
m1445.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.153757,0.025,0.025,0.153757,0.025,0.025,0.025,0.244272,0.975,0.025,0.244272,0.975,0.153757,0.244272,0.025,0.153757,0.244272
m1492.ply,0.025,0.025,0.025,0.499502,0.025,0.025,0.499502,0.59359,0.025,0.025,0.59359,0.025,0.025,0.025,0.975,0.499502,0.025,0.975,0.499502,0.59359,0.975,0.025,0.59359,0.975
m1486.ply,0.025,0.025,0.025,0.442566,0.025,0.025,0.442566,0.396692,0.025,0.025,0.396692,0.025,0.025,0.025,0.975,0.442566,0.025,0.975,0.442566,0.396692,0.975,0.025,0.396692,0.975
m1135.ply,0.025,0.025,0.025,0.545907,0.025,0.025,0.545907,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.181047,0.545907,0.025,0.181047,0.545907,0.975,0.181047,0.025,0.975,0.181047
m1121.ply,0.025,0.025,0.025,0.792248,0.025,0.025,0.792248,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.328749,0.792248,0.025,0.328749,0.792248,0.975,0.328749,0.025,0.975,0.328749
m1519.ply,0.025,0.025,0.025,0.377113,0.025,0.025,0.377113,0.272796,0.025,0.025,0.272796,0.025,0.025,0.025,0.975,0.377113,0.025,0.975,0.377113,0.272796,0.975,0.025,0.272796,0.975
m1525.ply,0.025,0.025,0.025,0.450612,0.025,0.025,0.450612,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.355389,0.450612,0.025,0.355389,0.450612,0.975,0.355389,0.025,0.975,0.355389
m1243.ply,0.025,0.025,0.025,0.67727,0.025,0.025,0.67727,0.24856,0.025,0.025,0.24856,0.025,0.025,0.025,0.975,0.67727,0.025,0.975,0.67727,0.24856,0.975,0.025,0.24856,0.975
m1257.ply,0.025,0.025,0.025,0.477636,0.025,0.025,0.477636,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.136758,0.477636,0.025,0.136758,0.477636,0.975,0.136758,0.025,0.975,0.136758
m1531.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.323536,0.025,0.025,0.323536,0.025,0.025,0.025,0.377685,0.975,0.025,0.377685,0.975,0.323536,0.377685,0.025,0.323536,0.377685
m1280.ply,0.025,0.025,0.025,0.447754,0.025,0.025,0.447754,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.136879,0.447754,0.025,0.136879,0.447754,0.975,0.136879,0.025,0.975,0.136879
m1294.ply,0.025,0.025,0.025,0.43938,0.025,0.025,0.43938,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.11004,0.43938,0.025,0.11004,0.43938,0.975,0.11004,0.025,0.975,0.11004
m1295.ply,0.025,0.025,0.025,0.500033,0.025,0.025,0.500033,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.0687774,0.500033,0.025,0.0687774,0.500033,0.975,0.0687774,0.025,0.975,0.0687774
m1281.ply,0.025,0.025,0.025,0.560756,0.025,0.025,0.560756,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.110583,0.560756,0.025,0.110583,0.560756,0.975,0.110583,0.025,0.975,0.110583
m1256.ply,0.025,0.025,0.025,0.477636,0.025,0.025,0.477636,0.136758,0.025,0.025,0.136758,0.025,0.025,0.025,0.975,0.477636,0.025,0.975,0.477636,0.136758,0.975,0.025,0.136758,0.975
m1530.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.299075,0.025,0.025,0.299075,0.025,0.025,0.025,0.3993,0.975,0.025,0.3993,0.975,0.299075,0.3993,0.025,0.299075,0.3993
m1524.ply,0.025,0.025,0.025,0.426636,0.025,0.025,0.426636,0.338181,0.025,0.025,0.338181,0.025,0.025,0.025,0.975,0.426636,0.025,0.975,0.426636,0.338181,0.975,0.025,0.338181,0.975
m1242.ply,0.025,0.025,0.0295766,0.975,0.025,0.0295766,0.975,0.594074,0.0295766,0.025,0.594074,0.0295766,0.025,0.025,0.235287,0.975,0.025,0.235287,0.975,0.594074,0.235287,0.025,0.594074,0.235287
m1518.ply,0.025,0.025,0.025,0.406739,0.025,0.025,0.406739,0.316635,0.025,0.025,0.316635,0.025,0.025,0.025,0.975,0.406739,0.025,0.975,0.406739,0.316635,0.975,0.025,0.316635,0.975
m1120.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.370037,0.025,0.025,0.370037,0.025,0.025,0.025,0.889139,0.975,0.025,0.889139,0.975,0.370037,0.889139,0.025,0.370037,0.889139
m1134.ply,0.025,0.025,0.025,0.542388,0.025,0.025,0.542388,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.1732,0.542388,0.025,0.1732,0.542388,0.975,0.1732,0.025,0.975,0.1732
m1487.ply,0.025,0.025,0.025,0.479235,0.025,0.025,0.479235,0.398424,0.025,0.025,0.398424,0.025,0.025,0.025,0.975,0.479235,0.025,0.975,0.479235,0.398424,0.975,0.025,0.398424,0.975
m1493.ply,0.025,0.025,0.025,0.546734,0.025,0.025,0.546734,0.470867,0.025,0.025,0.470867,0.025,0.025,0.025,0.975,0.546734,0.025,0.975,0.546734,0.470867,0.975,0.025,0.470867,0.975
m1322.ply,0.025,0.025,0.025,0.858476,0.025,0.025,0.858476,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.290439,0.858476,0.025,0.290439,0.858476,0.975,0.290439,0.025,0.975,0.290439
m1444.ply,0.025,0.025,0.025,0.231519,0.025,0.025,0.231519,0.45932,0.025,0.025,0.45932,0.025,0.025,0.025,0.975,0.231519,0.025,0.975,0.231519,0.45932,0.975,0.025,0.45932,0.975
m1450.ply,0.025,0.025,0.025,0.238483,0.025,0.025,0.238483,0.843388,0.025,0.025,0.843388,0.025,0.025,0.025,0.975,0.238483,0.025,0.975,0.238483,0.843388,0.975,0.025,0.843388,0.975
m1336.ply,0.025,0.025,0.025,0.740421,0.025,0.025,0.740421,0.286153,0.025,0.025,0.286153,0.025,0.025,0.025,0.975,0.740421,0.025,0.975,0.740421,0.286153,0.975,0.025,0.286153,0.975
m1478.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.611666,0.025,0.025,0.611666,0.025,0.025,0.025,0.223576,0.975,0.025,0.223576,0.975,0.611666,0.223576,0.025,0.611666,0.223576
m1332.ply,0.025,0.025,0.025,0.729325,0.025,0.025,0.729325,0.320984,0.025,0.025,0.320984,0.025,0.025,0.025,0.975,0.729325,0.025,0.975,0.729325,0.320984,0.975,0.025,0.320984,0.975
m1454.ply,0.025,0.025,0.025,0.637377,0.025,0.025,0.637377,0.820991,0.025,0.025,0.820991,0.025,0.025,0.025,0.975,0.637377,0.025,0.975,0.637377,0.820991,0.975,0.025,0.820991,0.975
m1440.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.221908,0.025,0.025,0.221908,0.025,0.025,0.025,0.262171,0.975,0.025,0.262171,0.975,0.221908,0.262171,0.025,0.221908,0.262171
m1326.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.30347,0.025,0.025,0.30347,0.025,0.025,0.025,0.840149,0.975,0.025,0.840149,0.975,0.30347,0.840149,0.025,0.30347,0.840149
m1468.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.227148,0.025,0.025,0.227148,0.025,0.025,0.025,0.178993,0.975,0.025,0.178993,0.975,0.227148,0.178993,0.025,0.227148,0.178993
m1497.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.327574,0.025,0.025,0.327574,0.025,0.025,0.025,0.342892,0.975,0.025,0.342892,0.975,0.327574,0.342892,0.025,0.327574,0.342892
m1483.ply,0.025,0.025,0.025,0.347864,0.025,0.025,0.347864,0.546594,0.025,0.025,0.546594,0.025,0.025,0.025,0.975,0.347864,0.025,0.975,0.347864,0.546594,0.975,0.025,0.546594,0.975
m1130.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.459182,0.025,0.025,0.459182,0.025,0.025,0.025,0.800606,0.975,0.025,0.800606,0.975,0.459182,0.800606,0.025,0.459182,0.800606
m1124.ply,0.025,0.025,0.025,0.633082,0.025,0.025,0.633082,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.240746,0.633082,0.025,0.240746,0.633082,0.975,0.240746,0.025,0.975,0.240746
m1118.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.231623,0.025,0.025,0.231623,0.025,0.025,0.025,0.526884,0.975,0.025,0.526884,0.975,0.231623,0.526884,0.025,0.231623,0.526884
m1246.ply,0.025,0.025,0.025,0.811475,0.025,0.025,0.811475,0.332582,0.025,0.025,0.332582,0.025,0.025,0.025,0.975,0.811475,0.025,0.975,0.811475,0.332582,0.975,0.025,0.332582,0.975
m1520.ply,0.025,0.025,0.025,0.523352,0.025,0.025,0.523352,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.255299,0.523352,0.025,0.255299,0.523352,0.975,0.255299,0.025,0.975,0.255299
m1534.ply,0.025,0.025,0.025,0.443392,0.025,0.025,0.443392,0.3396,0.025,0.025,0.3396,0.025,0.025,0.025,0.975,0.443392,0.025,0.975,0.443392,0.3396,0.975,0.025,0.3396,0.975
m1252.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.604361,0.025,0.025,0.604361,0.025,0.025,0.025,0.239457,0.975,0.025,0.239457,0.975,0.604361,0.239457,0.025,0.604361,0.239457
m1508.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.212635,0.025,0.025,0.212635,0.025,0.025,0.025,0.419927,0.975,0.025,0.419927,0.975,0.212635,0.419927,0.025,0.212635,0.419927
m1285.ply,0.025,0.025,0.025,0.383862,0.025,0.025,0.383862,0.352986,0.025,0.025,0.352986,0.025,0.025,0.025,0.975,0.383862,0.025,0.975,0.383862,0.352986,0.975,0.025,0.352986,0.975
m1291.ply,0.025,0.025,0.025,0.612934,0.025,0.025,0.612934,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.185769,0.612934,0.025,0.185769,0.612934,0.975,0.185769,0.025,0.975,0.185769
m1290.ply,0.025,0.025,0.025,0.480234,0.025,0.025,0.480234,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.132589,0.480234,0.025,0.132589,0.480234,0.975,0.132589,0.025,0.975,0.132589
m1284.ply,0.025,0.025,0.025,0.44402,0.025,0.025,0.44402,0.165302,0.025,0.025,0.165302,0.025,0.025,0.025,0.975,0.44402,0.025,0.975,0.44402,0.165302,0.975,0.025,0.165302,0.975
m1509.ply,0.025,0.025,0.025,0.552566,0.025,0.025,0.552566,0.386434,0.025,0.025,0.386434,0.025,0.025,0.025,0.975,0.552566,0.025,0.975,0.552566,0.386434,0.975,0.025,0.386434,0.975
m1535.ply,0.025,0.025,0.025,0.373905,0.025,0.025,0.373905,0.290989,0.025,0.025,0.290989,0.025,0.025,0.025,0.975,0.373905,0.025,0.975,0.373905,0.290989,0.975,0.025,0.290989,0.975
m1253.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.715337,0.025,0.025,0.715337,0.025,0.025,0.025,0.231058,0.975,0.025,0.231058,0.975,0.715337,0.231058,0.025,0.715337,0.231058
m1247.ply,0.025,0.025,0.025,0.680532,0.025,0.025,0.680532,0.338948,0.025,0.025,0.338948,0.025,0.025,0.025,0.975,0.680532,0.025,0.975,0.680532,0.338948,0.975,0.025,0.338948,0.975
m1521.ply,0.025,0.025,0.025,0.412061,0.025,0.025,0.412061,0.269465,0.025,0.025,0.269465,0.025,0.025,0.025,0.975,0.412061,0.025,0.975,0.412061,0.269465,0.975,0.025,0.269465,0.975
m1119.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.379325,0.025,0.025,0.379325,0.025,0.025,0.025,0.815271,0.975,0.025,0.815271,0.975,0.379325,0.815271,0.025,0.379325,0.815271
m1125.ply,0.025,0.025,0.025,0.799082,0.025,0.025,0.799082,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.274375,0.799082,0.025,0.274375,0.799082,0.975,0.274375,0.025,0.975,0.274375
m1131.ply,0.025,0.025,0.025,0.705618,0.025,0.025,0.705618,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.196732,0.705618,0.025,0.196732,0.705618,0.975,0.196732,0.025,0.975,0.196732
m1482.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.330779,0.025,0.025,0.330779,0.025,0.025,0.025,0.591614,0.975,0.025,0.591614,0.975,0.330779,0.591614,0.025,0.330779,0.591614
m1496.ply,0.025,0.025,0.025,0.374098,0.025,0.025,0.374098,0.356087,0.025,0.025,0.356087,0.025,0.025,0.025,0.975,0.374098,0.025,0.975,0.374098,0.356087,0.975,0.025,0.356087,0.975
m1469.ply,0.025,0.025,0.025,0.129224,0.025,0.025,0.129224,0.28801,0.025,0.025,0.28801,0.025,0.025,0.025,0.975,0.129224,0.025,0.975,0.129224,0.28801,0.975,0.025,0.28801,0.975
m1441.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.425436,0.025,0.025,0.425436,0.025,0.025,0.025,0.239859,0.975,0.025,0.239859,0.975,0.425436,0.239859,0.025,0.425436,0.239859
m1327.ply,0.025,0.025,0.025,0.762712,0.025,0.025,0.762712,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.312559,0.762712,0.025,0.312559,0.762712,0.975,0.312559,0.025,0.975,0.312559
m1333.ply,0.025,0.025,0.025,0.815941,0.025,0.025,0.815941,0.273015,0.025,0.025,0.273015,0.025,0.025,0.025,0.975,0.815941,0.025,0.975,0.815941,0.273015,0.975,0.025,0.273015,0.975
m1455.ply,0.025,0.025,0.025,0.402439,0.025,0.025,0.402439,0.706094,0.025,0.025,0.706094,0.025,0.025,0.025,0.975,0.402439,0.025,0.975,0.402439,0.706094,0.975,0.025,0.706094,0.975
m1325.ply,0.025,0.025,0.025,0.837723,0.025,0.025,0.837723,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.299723,0.837723,0.025,0.299723,0.837723,0.975,0.299723,0.025,0.975,0.299723
m1443.ply,0.025,0.025,0.025,0.117464,0.025,0.025,0.117464,0.329774,0.025,0.025,0.329774,0.025,0.025,0.025,0.975,0.117464,0.025,0.975,0.117464,0.329774,0.975,0.025,0.329774,0.975
m1457.ply,0.025,0.025,0.025,0.375197,0.025,0.025,0.375197,0.59733,0.025,0.025,0.59733,0.025,0.025,0.025,0.975,0.375197,0.025,0.975,0.375197,0.59733,0.975,0.025,0.59733,0.975
m1331.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.283365,0.025,0.025,0.283365,0.025,0.025,0.025,0.746885,0.975,0.025,0.746885,0.975,0.283365,0.746885,0.025,0.283365,0.746885
m1319.ply,0.025,0.025,0.025,0.687735,0.025,0.025,0.687735,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.178555,0.687735,0.025,0.178555,0.687735,0.975,0.178555,0.025,0.975,0.178555
m1480.ply,0.025,0.025,0.025,0.446434,0.025,0.025,0.446434,0.63483,0.025,0.025,0.63483,0.025,0.025,0.025,0.975,0.446434,0.025,0.975,0.446434,0.63483,0.975,0.025,0.63483,0.975
m1494.ply,0.025,0.025,0.025,0.501882,0.025,0.025,0.501882,0.372405,0.025,0.025,0.372405,0.025,0.025,0.025,0.975,0.501882,0.025,0.975,0.501882,0.372405,0.975,0.025,0.372405,0.975
m1127.ply,0.025,0.025,0.025,0.811053,0.025,0.025,0.811053,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.219704,0.811053,0.025,0.219704,0.811053,0.975,0.219704,0.025,0.975,0.219704
m1133.ply,0.025,0.025,0.025,0.769747,0.025,0.025,0.769747,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.311217,0.769747,0.025,0.311217,0.769747,0.975,0.311217,0.025,0.975,0.311217
m1251.ply,0.025,0.025,0.025,0.663453,0.025,0.025,0.663453,0.309501,0.025,0.025,0.309501,0.025,0.025,0.025,0.975,0.663453,0.025,0.975,0.663453,0.309501,0.975,0.025,0.309501,0.975
m1537.ply,0.025,0.025,0.025,0.353505,0.025,0.025,0.353505,0.198131,0.025,0.025,0.198131,0.025,0.025,0.025,0.975,0.353505,0.025,0.975,0.353505,0.198131,0.975,0.025,0.198131,0.975
m1523.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.354228,0.025,0.025,0.354228,0.025,0.025,0.025,0.42955,0.975,0.025,0.42955,0.975,0.354228,0.42955,0.025,0.354228,0.42955
m1245.ply,0.025,0.025,0.025,0.975,0.025,0.025,0.975,0.312895,0.025,0.025,0.312895,0.025,0.025,0.025,0.749336,0.975,0.025,0.749336,0.975,0.312895,0.749336,0.025,0.312895,0.749336
m1279.ply,0.025,0.025,0.025,0.455168,0.025,0.025,0.455168,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.160655,0.455168,0.025,0.160655,0.455168,0.975,0.160655,0.025,0.975,0.160655
m1292.ply,0.025,0.025,0.025,0.671475,0.025,0.025,0.671475,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.210654,0.671475,0.025,0.210654,0.671475,0.975,0.210654,0.025,0.975,0.210654
m1286.ply,0.025,0.025,0.025,0.584867,0.025,0.025,0.584867,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.139,0.584867,0.025,0.139,0.584867,0.975,0.139,0.025,0.975,0.139
m1287.ply,0.025,0.025,0.025,0.468476,0.025,0.025,0.468476,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.115832,0.468476,0.025,0.115832,0.468476,0.975,0.115832,0.025,0.975,0.115832
m1293.ply,0.025,0.025,0.025,0.667647,0.025,0.025,0.667647,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.221163,0.667647,0.025,0.221163,0.667647,0.975,0.221163,0.025,0.975,0.221163
m1278.ply,0.025,0.025,0.025,0.468886,0.025,0.025,0.468886,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.150699,0.468886,0.025,0.150699,0.468886,0.975,0.150699,0.025,0.975,0.150699
m1522.ply,0.025,0.025,0.025,0.408249,0.025,0.025,0.408249,0.285988,0.025,0.025,0.285988,0.025,0.025,0.025,0.975,0.408249,0.025,0.975,0.408249,0.285988,0.975,0.025,0.285988,0.975
m1244.ply,0.025,0.025,0.025,0.609074,0.025,0.025,0.609074,0.288889,0.025,0.025,0.288889,0.025,0.025,0.025,0.975,0.609074,0.025,0.975,0.609074,0.288889,0.975,0.025,0.288889,0.975
m1250.ply,0.025,0.025,0.025,0.874905,0.025,0.025,0.874905,0.225855,0.025,0.025,0.225855,0.025,0.025,0.025,0.975,0.874905,0.025,0.975,0.874905,0.225855,0.975,0.025,0.225855,0.975
m1536.ply,0.025,0.025,0.025,0.629503,0.025,0.025,0.629503,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.500356,0.629503,0.025,0.500356,0.629503,0.975,0.500356,0.025,0.975,0.500356
m1132.ply,0.025,0.025,0.025,0.7227,0.025,0.025,0.7227,0.975,0.025,0.025,0.975,0.025,0.025,0.025,0.209765,0.7227,0.025,0.209765,0.7227,0.975,0.209765,0.025,0.975,0.209765
