mesh_name,category,n_vertices,n_faces,d_centroid_origin
m1119.ply,vehicle,3226,6200,3.9235049299832825e-09
m1125.ply,vehicle,3501,6400,7.2112085543481836e-09
m1131.ply,vehicle,3470,6400,3.3851895027203967e-09
m1482.ply,vehicle,3218,6399,1.9999126008935114e-09
m1496.ply,vehicle,3233,6400,5.502952455131108e-09
m1469.ply,vehicle,3380,6399,1.194724317297029e-09
m1441.ply,vehicle,4539,6399,1.4636927334265288e-09
m1327.ply,vehicle,3422,6400,1.1624580077361711e-08
m1333.ply,vehicle,3148,6400,1.6300037480769098e-09
m1455.ply,vehicle,3226,6400,8.836904583859126e-09
m1325.ply,vehicle,3744,6400,1.7896982049031368e-09
m1443.ply,vehicle,3409,6399,1.5447366925645258e-09
m1457.ply,vehicle,3299,6399,3.906045733485914e-09
m1331.ply,vehicle,3403,6400,5.865956451244743e-09
m1319.ply,vehicle,3425,6399,1.9867718154610246e-09
m1480.ply,vehicle,3595,6400,3.466529084582104e-09
m1494.ply,vehicle,2570,6400,4.7219318072746984e-09
m1127.ply,vehicle,3487,6399,9.373760872534737e-09
m1133.ply,vehicle,3465,6399,2.5249872700947134e-09
m1251.ply,vehicle,3300,6400,2.7791980805070425e-09
m1537.ply,vehicle,1863,6397,4.545631499302712e-09
m1523.ply,vehicle,3210,6400,1.1968576472873152e-09
m1245.ply,vehicle,3410,6816,1.5343827178790847e-09
m1279.ply,vehicle,3539,6399,1.0049503758655248e-08
m1292.ply,vehicle,3643,6400,3.4487605963473005e-09
m1286.ply,vehicle,3898,6848,2.7241766090927938e-09
m1287.ply,vehicle,3508,6399,6.066352290354629e-09
m1293.ply,vehicle,3320,6160,4.045031586904743e-09
m1278.ply,vehicle,3357,6400,4.333330218852502e-09
m1522.ply,vehicle,3567,6399,2.1449369637323725e-09
m1244.ply,vehicle,3108,7072,1.7469784155388008e-09
m1250.ply,vehicle,3248,6399,1.24183676939464e-09
m1536.ply,vehicle,2617,6399,9.018270194020341e-10
m1132.ply,vehicle,3182,5712,1.7074712133312177e-09
m1126.ply,vehicle,3475,6400,2.8090926809220647e-09
m1495.ply,vehicle,3322,6400,1.9516861710449806e-09
m1481.ply,vehicle,3278,6400,3.2850863271670092e-09
m1318.ply,vehicle,3427,6400,1.0751732820998159e-08
m1456.ply,vehicle,3147,6400,3.1241091617094302e-09
m1330.ply,vehicle,3196,6398,5.670535074054247e-09
m1324.ply,vehicle,3666,6399,2.7540556236662024e-09
m1442.ply,vehicle,3541,6399,1.0657762139311977e-09
m1419.ply,vehicle,3352,6400,1.6206186421409249e-09
m1343.ply,vehicle,3206,6400,3.9676184438718295e-09
m1425.ply,vehicle,3268,6399,3.3739603773125074e-09
m1431.ply,vehicle,3727,6399,2.3656248128905802e-09
m1357.ply,vehicle,1828,6400,1.981604586990186e-09
m1380.ply,vehicle,4131,6400,2.36579508367955e-09
m1394.ply,vehicle,3704,6399,1.931937597134323e-09
m1169.ply,vehicle,3300,6400,2.7791980805070425e-09
m1141.ply,vehicle,3348,6400,6.755937818190098e-09
m1155.ply,vehicle,3680,5798,8.520375696772719e-10
m1182.ply,vehicle,3203,6400,8.51628089310439e-09
m1196.ply,vehicle,3539,6400,3.0638695127164237e-09
m1579.ply,vehicle,3273,6400,5.182982084712218e-09
m1237.ply,vehicle,3494,7680,2.2945095907906964e-09
m1551.ply,vehicle,3387,6399,3.916079353873209e-09
m1545.ply,vehicle,3409,6400,2.6668486530815383e-09
m1223.ply,vehicle,3202,6400,1.1984399482615983e-09
m1586.ply,vehicle,3439,6400,1.613649745510285e-09
m1587.ply,vehicle,3309,6400,3.998609470447305e-09
m740.ply,vehicle,4352,7556,9.780372415081672e-10
m1544.ply,vehicle,3362,6399,3.5561028449671898e-09
m1222.ply,vehicle,3201,6398,2.6193821861747944e-09
m1236.ply,vehicle,3169,6400,5.646974605980618e-10
m1550.ply,vehicle,3393,6399,2.408623558796576e-09
m1578.ply,vehicle,3245,6400,1.4908283117310974e-09
m1197.ply,vehicle,3766,7744,4.5807603591688516e-09
m1183.ply,vehicle,3593,6400,6.114295659035873e-10
m1154.ply,vehicle,3220,6400,5.443020077405337e-09
m1140.ply,vehicle,3354,6399,1.938260075575993e-09
m1168.ply,vehicle,2904,6400,2.7840101974163273e-09
m1395.ply,vehicle,3589,6400,2.709061537295442e-09
m1381.ply,vehicle,3355,6399,2.472569760809874e-09
m1430.ply,vehicle,3823,6400,3.692864042690848e-09
m1356.ply,vehicle,3618,6400,3.88303070927673e-09
m1342.ply,vehicle,3374,6400,5.14145722824139e-09
m1424.ply,vehicle,3339,6400,3.006283582256174e-09
m1418.ply,vehicle,3555,6400,2.335608958320543e-09
m1368.ply,vehicle,3491,6399,5.906514587248652e-09
m1354.ply,vehicle,3240,6399,2.189873933807178e-09
m1432.ply,vehicle,3606,6400,4.761379337812311e-09
m1426.ply,vehicle,3370,6400,5.750267279004175e-09
m1340.ply,vehicle,3010,5828,1.948058445049109e-09
m1397.ply,vehicle,3422,6400,2.7204337046961804e-09
m1383.ply,vehicle,1743,6400,3.739111877444608e-09
m1156.ply,vehicle,3381,6399,2.857588240871193e-09
m1142.ply,vehicle,3271,6399,5.074016396443075e-09
m1195.ply,vehicle,4108,7360,9.42242229943887e-10
m1181.ply,vehicle,3199,6400,5.5230042474728646e-09
m1208.ply,vehicle,3218,6400,5.027463544095339e-09
m1220.ply,vehicle,3206,6400,4.509762649739751e-09
m1546.ply,vehicle,3833,6400,3.64220272420169e-09
m1552.ply,vehicle,3210,6400,4.784696036219544e-09
m1234.ply,vehicle,3722,7872,3.485177454145141e-09
m1585.ply,vehicle,3382,6399,2.5747563411280466e-09
m1584.ply,vehicle,3216,6400,1.1540590238623026e-09
m1553.ply,vehicle,4366,7660,5.368325054177788e-09
m1235.ply,vehicle,3219,6400,5.446870139534911e-09
m1221.ply,vehicle,3215,6400,1.7750732251798137e-09
m1547.ply,vehicle,3609,7040,2.057780407533605e-09
m1209.ply,vehicle,3849,7680,1.6390304715957136e-09
m1180.ply,vehicle,3201,6400,3.701880957763436e-09
m1194.ply,vehicle,3576,6400,4.1256787455005835e-09
m1143.ply,vehicle,3336,6574,4.770971131934802e-09
m1157.ply,vehicle,3574,6399,2.1189271243667206e-09
m1382.ply,vehicle,3188,6399,7.389783638107723e-10
m1396.ply,vehicle,3395,6399,8.619889980214524e-10
m1427.ply,vehicle,3753,6400,1.3924320340491623e-09
m1341.ply,vehicle,3226,6400,1.5166398670370735e-09
m1355.ply,vehicle,3761,6400,1.5425768362690114e-09
m1433.ply,vehicle,3040,4908,3.821815477588535e-10
m1369.ply,vehicle,3749,6880,2.202717649448977e-09
m1437.ply,vehicle,3671,6399,5.897348537949008e-09
m1351.ply,vehicle,3591,6400,8.631448865701829e-10
m1345.ply,vehicle,3174,6000,6.08694330636627e-10
m1423.ply,vehicle,7137,6399,2.3758202918063627e-09
m1379.ply,vehicle,3975,7432,2.7478274134312894e-09
m1392.ply,vehicle,3970,6400,4.2729901052744284e-09
m1386.ply,vehicle,3215,6400,1.0301024042460992e-09
m1153.ply,vehicle,3177,6400,3.1757731441758088e-09
m1147.ply,vehicle,3179,6400,2.1580513990998894e-09
m1190.ply,vehicle,3037,6400,3.5127433634688386e-09
m1184.ply,vehicle,3174,6400,2.731433448321355e-09
m1543.ply,vehicle,3571,6399,4.264852491878925e-09
m1225.ply,vehicle,2850,6399,5.912384984039289e-09
m1231.ply,vehicle,3203,6399,2.569381364501611e-09
m1557.ply,vehicle,3354,6400,9.224701902673144e-09
m1219.ply,vehicle,3202,6400,4.712888962333473e-09
m1580.ply,vehicle,3389,6400,2.5196251574681725e-09
m1581.ply,vehicle,3427,6400,4.8091474505908494e-09
m1218.ply,vehicle,3274,6400,3.3086023799051615e-09
m1230.ply,vehicle,3452,6400,2.8965826460834276e-09
m1556.ply,vehicle,2234,6400,5.649243793842549e-09
m1542.ply,vehicle,4384,7414,2.717208716009107e-09
m1224.ply,vehicle,3395,6400,6.793032571651627e-10
m1185.ply,vehicle,3091,6400,3.1158500866758402e-09
m1191.ply,vehicle,3327,6399,9.53595742911807e-10
m1146.ply,vehicle,3444,6399,6.986710004755197e-09
m1152.ply,vehicle,3726,6881,3.3195093762267163e-09
m1387.ply,vehicle,3570,7136,6.619040587290346e-10
m1393.ply,vehicle,3814,7596,1.9106789849780725e-09
m1378.ply,vehicle,3424,6399,1.4900806125036699e-09
m1344.ply,vehicle,4097,7720,1.0535741140134206e-09
m1422.ply,vehicle,4260,7048,2.7962258737072394e-09
m1436.ply,vehicle,3234,6400,2.117639801110188e-09
m1350.ply,vehicle,4167,7904,7.263357614709559e-09
m1420.ply,vehicle,3590,6400,2.6988649665354925e-09
m1346.ply,vehicle,3322,6399,7.005066734250185e-10
m1352.ply,vehicle,3236,6348,4.805435506023612e-09
m1434.ply,vehicle,3261,6400,4.0167054579522994e-09
m1408.ply,vehicle,3269,6400,5.819583285507471e-09
m1385.ply,vehicle,3581,6399,2.284024416678589e-09
m1391.ply,vehicle,3452,6399,2.9836656004347832e-09
m1144.ply,vehicle,3627,6736,5.06522005253378e-09
m1150.ply,vehicle,3204,6400,4.000857950259545e-09
m1178.ply,vehicle,2879,6400,1.3377067192022368e-09
m1187.ply,vehicle,3191,6399,3.4211463615659896e-09
m1193.ply,vehicle,3203,6399,1.6982719277047997e-09
m1554.ply,vehicle,2689,6400,8.1105156930783e-09
m1232.ply,vehicle,3182,6688,4.514542107530549e-09
m1226.ply,vehicle,3202,6400,2.9997411200433983e-09
m1540.ply,vehicle,3238,6400,1.5102452749075346e-09
m1568.ply,vehicle,3117,6399,2.815120896546129e-09
m1583.ply,vehicle,3227,6400,8.713153906968589e-09
m1582.ply,vehicle,3220,6399,5.818416263893005e-09
m1569.ply,vehicle,3940,6399,6.273696857046189e-09
m1227.ply,vehicle,3725,6400,6.058593103673727e-09
m1541.ply,vehicle,3140,6400,7.082210503280174e-09
m1555.ply,vehicle,3601,6400,6.999607065096404e-09
m1233.ply,vehicle,3099,6400,8.773537881495734e-09
m1192.ply,vehicle,3044,6400,4.271510387312652e-09
m1186.ply,vehicle,3190,6400,6.573182222696786e-09
m1179.ply,vehicle,3322,6400,3.1542738119243707e-09
m1151.ply,vehicle,3342,6640,2.903400482479568e-09
m1145.ply,vehicle,3822,6399,5.608598987143616e-09
m1390.ply,vehicle,3401,6400,2.7965856437952244e-09
m1384.ply,vehicle,3780,7460,2.0923002737650797e-09
m1409.ply,vehicle,3554,6399,2.7715189693755532e-09
m1353.ply,vehicle,3261,6399,4.041203678117356e-09
m1435.ply,vehicle,4211,4887,1.4173048450693387e-09
m1421.ply,vehicle,3658,6400,2.341998211903405e-09
m1347.ply,vehicle,3052,6274,2.107485783648837e-09
m1438.ply,vehicle,3270,6399,2.6603190603566788e-09
m1362.ply,vehicle,4141,6400,6.942665522815774e-09
m1404.ply,vehicle,3707,6400,9.25765061007064e-09
m1410.ply,vehicle,4154,6399,7.994558562680277e-09
m1376.ply,vehicle,3093,6400,2.8381789012330867e-09
m1389.ply,vehicle,3150,6399,5.1625141153184604e-09
m1148.ply,vehicle,3566,6400,2.3232234617224215e-09
m1160.ply,vehicle,3477,6399,2.0478598733750107e-09
m1174.ply,vehicle,3220,6400,9.664504395669746e-09
m1558.ply,vehicle,3889,6399,2.620734769274651e-09
m1216.ply,vehicle,3509,7016,2.0784680809591088e-09
m1570.ply,vehicle,3203,6399,1.8824356345283475e-09
m1564.ply,vehicle,3173,6399,1.4704328486654352e-09
m1202.ply,vehicle,3218,6400,5.700768388199888e-09
m1565.ply,vehicle,3972,6400,7.593165334769204e-09
m1203.ply,vehicle,3203,6399,7.360013392698094e-09
m1217.ply,vehicle,3240,6399,2.53663061367126e-09
m1571.ply,vehicle,3380,6400,8.0424265294533e-09
m1559.ply,vehicle,3390,6399,1.9717713428566177e-09
m1175.ply,vehicle,3248,6400,1.9343539205577407e-09
m1161.ply,vehicle,4547,6768,4.082201535265575e-09
m1149.ply,vehicle,3003,5874,2.172161270023515e-09
m1388.ply,vehicle,3168,6390,6.132651015169761e-09
m1411.ply,vehicle,3329,6400,3.919671253430174e-09
m1377.ply,vehicle,3992,6400,1.088256816217327e-09
m1363.ply,vehicle,3835,6399,2.644548321705439e-09
m1405.ply,vehicle,2807,6399,1.1503027024264373e-08
m1439.ply,vehicle,3206,6399,3.2209709844633348e-09
m1349.ply,vehicle,3555,6400,1.8213542824617467e-09
m1375.ply,vehicle,3121,6400,4.643651705947508e-09
m1413.ply,vehicle,3325,6400,4.012010915920368e-09
m1407.ply,vehicle,3099,6073,5.693310847617167e-09
m1361.ply,vehicle,3251,6399,5.555065928550696e-09
m1177.ply,vehicle,3207,6400,8.077183215647032e-10
m1163.ply,vehicle,2244,6398,2.6476930491487345e-09
m1188.ply,vehicle,3210,6400,3.112283136468929e-09
m1229.ply,vehicle,3388,6422,9.83442209915707e-10
m1201.ply,vehicle,3751,6399,2.5621075064504868e-09
m1567.ply,vehicle,3367,6400,6.027256393730394e-09
m1573.ply,vehicle,3294,6400,5.855025072873387e-10
m1215.ply,vehicle,3206,6400,6.320568252672505e-10
m1572.ply,vehicle,3399,6400,4.904383501396743e-09
m1214.ply,vehicle,3518,7008,1.2484516660974348e-09
m1200.ply,vehicle,3176,6400,6.057963299625517e-09
m1566.ply,vehicle,3330,6400,7.0013731586555434e-09
m1228.ply,vehicle,3515,5888,1.3476824208976323e-09
m1189.ply,vehicle,3025,6400,2.782336607649313e-09
m1162.ply,vehicle,3217,6399,8.93523845201543e-09
m1176.ply,vehicle,1718,6398,1.6551606502863508e-09
m1406.ply,vehicle,2229,6398,3.461350379618386e-09
m1360.ply,vehicle,4191,6399,2.194818503453359e-09
m1374.ply,vehicle,3365,6399,5.367078336337815e-09
m1412.ply,vehicle,4459,6962,2.5284311016824048e-09
m1348.ply,vehicle,3338,6400,4.430798769407838e-10
m1416.ply,vehicle,3792,6400,2.9047292904242085e-09
m1370.ply,vehicle,3297,6399,2.186474865812266e-09
m1364.ply,vehicle,4016,6400,4.187170207111888e-09
m1402.ply,vehicle,2796,6399,6.403277410350399e-09
m1358.ply,vehicle,4345,7956,1.7594673733874886e-09
m1172.ply,vehicle,2521,6400,7.284786983858849e-10
m1166.ply,vehicle,2981,6400,3.452702443137107e-09
m1199.ply,vehicle,3230,6400,1.5231652380453074e-09
m1562.ply,vehicle,3949,6399,1.078997256868233e-09
m1204.ply,vehicle,3149,6394,8.349680821037376e-09
m1210.ply,vehicle,3217,6399,4.100961975910959e-09
m1576.ply,vehicle,3519,7038,3.823830309644259e-09
m1238.ply,vehicle,3130,6336,7.497467310932936e-10
m1588.ply,vehicle,4400,7716,2.6757724601531107e-09
m1239.ply,vehicle,3491,6399,2.9204043544355576e-09
m1211.ply,vehicle,3334,6400,2.965563809306728e-09
m1577.ply,vehicle,3291,6399,1.9898088757122768e-09
m1563.ply,vehicle,3274,6400,7.840375945629593e-10
m1205.ply,vehicle,3548,6399,3.942330897627721e-09
m1198.ply,vehicle,3520,7392,1.9899319455406385e-09
m1167.ply,vehicle,4107,6400,4.420269956120175e-09
m1173.ply,vehicle,3365,6399,2.4612899243516247e-09
m1359.ply,vehicle,3207,6400,8.273706129164094e-10
m1365.ply,vehicle,3457,6400,3.5063165188832406e-09
m1403.ply,vehicle,3450,6720,4.091280301337386e-09
m1417.ply,vehicle,3833,6400,2.2276864619029296e-09
m1371.ply,vehicle,3559,6400,7.1378984488295815e-09
m1401.ply,vehicle,3238,6400,1.8102524878093613e-08
m1367.ply,vehicle,3392,6397,2.315458431518426e-09
m1373.ply,vehicle,3374,6399,4.756406090044794e-09
m1415.ply,vehicle,3302,6399,1.3696254440892136e-09
m1429.ply,vehicle,3750,6400,7.103325076106508e-09
m1398.ply,vehicle,3249,6399,6.068654123891966e-09
m1165.ply,vehicle,3364,6400,5.9905725390377235e-09
m1171.ply,vehicle,3110,5622,1.6523995430104188e-09
m1159.ply,vehicle,3726,6881,3.3195093762267163e-09
m1575.ply,vehicle,3314,6399,5.231807445965319e-09
m1213.ply,vehicle,3194,6400,3.3289978546797546e-09
m1207.ply,vehicle,3370,6399,3.3604994260542995e-09
m1561.ply,vehicle,3264,6399,1.605365465702812e-09
m1549.ply,vehicle,1777,6398,8.850666750405422e-10
m1548.ply,vehicle,3409,6400,2.6668486530815383e-09
m1206.ply,vehicle,3138,6400,2.655168517154293e-09
m1560.ply,vehicle,3090,6400,4.272212684135518e-09
m1574.ply,vehicle,3780,7402,1.0298540172957715e-09
m1212.ply,vehicle,2947,6397,1.7777080808543314e-09
m1158.ply,vehicle,3177,6400,2.4558634579956458e-09
m1170.ply,vehicle,4427,7591,1.7262398579363447e-09
m1164.ply,vehicle,2936,6398,2.8936739602856104e-09
m1399.ply,vehicle,3307,6400,3.5571982079017887e-09
m1428.ply,vehicle,3863,6400,9.110217637052587e-10
m1372.ply,vehicle,3366,6344,3.2302830900535695e-09
m1414.ply,vehicle,3559,6398,4.990099888598224e-10
m1400.ply,vehicle,3574,5323,3.2266668677970794e-09
m1366.ply,vehicle,3258,6400,5.428707695237729e-10
m1329.ply,vehicle,3252,6399,3.172728840528443e-09
m1467.ply,vehicle,3237,6400,1.6013540184981618e-09
m1301.ply,vehicle,3202,6400,1.0766111184814058e-08
m1315.ply,vehicle,3506,6399,2.0379129194963283e-09
m1473.ply,vehicle,3145,6400,9.101440785313476e-09
m1498.ply,vehicle,3373,6399,4.408271485667972e-09
m1249.ply,vehicle,3203,6400,3.369931128171237e-09
m1513.ply,vehicle,3839,6400,2.6359467398738505e-09
m1275.ply,vehicle,3545,6399,6.038785283695964e-09
m1261.ply,vehicle,3529,6400,2.901526307549867e-09
m1507.ply,vehicle,3308,6399,5.247091572734136e-09
m1260.ply,vehicle,2886,6399,2.785609491225955e-09
m1506.ply,vehicle,4284,7879,2.0979834986520464e-09
m1512.ply,vehicle,3880,6399,6.302537107856281e-10
m1274.ply,vehicle,3468,6400,3.511648907563237e-09
m1248.ply,vehicle,3108,6400,4.6005278107845725e-09
m1499.ply,vehicle,3138,6400,1.3031343451431195e-09
m1314.ply,vehicle,3435,6400,3.4502353051391412e-09
m1472.ply,vehicle,3460,6400,6.259506564043819e-09
m1466.ply,vehicle,3407,6399,7.4110763001198565e-09
m1300.ply,vehicle,2431,6400,4.166368897179999e-09
m1328.ply,vehicle,3218,6448,9.092419713714163e-09
m1458.ply,vehicle,3291,6399,2.9286157456405465e-09
m1470.ply,vehicle,3231,6400,2.0797306123331327e-09
m1316.ply,vehicle,3393,6400,5.5925685300173924e-09
m1302.ply,vehicle,3981,7528,1.0984189784561518e-08
m1464.ply,vehicle,3306,6399,5.813529499043549e-10
m1128.ply,vehicle,3399,6399,2.3379943897940436e-09
m1538.ply,vehicle,3210,6400,1.2728621300611078e-09
m1504.ply,vehicle,3147,6399,3.5919464621853054e-09
m1262.ply,vehicle,3565,6400,1.381586777591814e-09
m1276.ply,vehicle,3753,6399,5.28122490571727e-09
m1510.ply,vehicle,3132,6399,1.622270452602715e-09
m1289.ply,vehicle,3332,6399,3.433384325096809e-09
m1288.ply,vehicle,3493,6400,3.929120000750201e-09
m1277.ply,vehicle,3366,6400,1.2189575755853727e-08
m1511.ply,vehicle,3229,6400,3.590545153698956e-09
m1505.ply,vehicle,3396,6400,3.156512158715122e-09
m1263.ply,vehicle,3543,6399,2.334589127549828e-09
m1539.ply,vehicle,3196,6400,1.0480081523594448e-09
m1129.ply,vehicle,3351,6272,2.018674395522888e-09
m1303.ply,vehicle,3246,6416,2.2425472109926524e-09
m1465.ply,vehicle,4086,6399,5.2621275834273475e-09
m1471.ply,vehicle,4179,6399,1.5943668198523382e-09
m1317.ply,vehicle,3420,6399,1.372596746499258e-08
m1459.ply,vehicle,3328,6399,3.493849330619012e-09
m1313.ply,vehicle,3430,6400,1.9995458383891343e-09
m1475.ply,vehicle,3181,6399,1.3761101877629824e-09
m1461.ply,vehicle,4161,6400,6.6518397741163755e-09
m1307.ply,vehicle,3356,6400,7.1271100860726635e-09
m1449.ply,vehicle,3200,6400,8.72373356170452e-09
m1139.ply,vehicle,4171,6399,2.1593920109987726e-09
m1267.ply,vehicle,3551,6400,2.4756646197573214e-09
m1501.ply,vehicle,3304,6400,3.078708764216325e-09
m1515.ply,vehicle,3295,6256,4.314530374030782e-09
m1273.ply,vehicle,3278,6399,1.1488381038446983e-08
m1529.ply,vehicle,4161,7412,1.692407321568088e-09
m739.ply,vehicle,3230,6496,1.6572950726028624e-09
m1298.ply,vehicle,3266,6400,5.307601092576088e-09
m1299.ply,vehicle,3610,6397,4.462614970454918e-09
m738.ply,vehicle,3393,6399,1.9637709012440093e-09
m1528.ply,vehicle,3529,6400,2.7656431195142334e-09
m1514.ply,vehicle,3412,6400,3.461981924101552e-09
m1272.ply,vehicle,4228,6400,1.1160731572147863e-08
m1266.ply,vehicle,3408,5808,2.7624432601847995e-09
m1500.ply,vehicle,3214,6400,4.102321563397803e-09
m1138.ply,vehicle,3521,6399,3.5959813475825934e-09
m1448.ply,vehicle,3237,6399,2.6409510240660068e-09
m1460.ply,vehicle,3338,6400,4.505583103502289e-09
m1306.ply,vehicle,2971,6400,3.347880113269618e-09
m1312.ply,vehicle,3054,5888,2.3618329921591765e-09
m1474.ply,vehicle,3885,6400,1.1778780395546988e-08
m1304.ply,vehicle,3218,6400,8.022185210329378e-09
m1462.ply,vehicle,3361,6400,2.7800052116805785e-09
m1476.ply,vehicle,3178,6400,7.53248428145488e-09
m1310.ply,vehicle,3228,6400,4.763761163663702e-09
m1338.ply,vehicle,3282,6399,6.4537677110079515e-09
m1489.ply,vehicle,3208,6400,1.7463090628602624e-09
m1270.ply,vehicle,3883,7232,2.3196072007792244e-09
m1516.ply,vehicle,3077,6399,5.512316257636181e-09
m1502.ply,vehicle,4970,7120,1.293652945002154e-09
m1264.ply,vehicle,4282,7984,1.9791842552081925e-09
m1258.ply,vehicle,3666,6399,4.935228808520452e-09
m1259.ply,vehicle,3751,6399,2.5621075064504868e-09
m1503.ply,vehicle,3499,6400,1.660543649603106e-08
m1265.ply,vehicle,3383,6400,1.549079524680068e-09
m1271.ply,vehicle,3422,6400,2.2366222919804236e-09
m1517.ply,vehicle,3878,7448,2.6418594694052507e-09
m1488.ply,vehicle,3463,6399,1.2891052430771692e-08
m1339.ply,vehicle,1966,6400,3.709097801604655e-09
m1477.ply,vehicle,3421,6399,4.2904590542307565e-09
m1311.ply,vehicle,3202,6400,3.984876920243483e-09
