mesh_name class n_vertices n_faces
m1392.ply vehicle 14112 26014
m1386.ply vehicle 1707 3384
m1153.ply vehicle 740 1478
m1147.ply vehicle 1149 2320
m1190.ply vehicle 142 318
m1184.ply vehicle 182 382
m1543.ply vehicle 386 548
m1225.ply vehicle 183 340
m1231.ply vehicle 79 132
m1557.ply vehicle 8489 16656
m1219.ply vehicle 184 364
m1580.ply vehicle 1400 2568
m1581.ply vehicle 11298 22000
m1218.ply vehicle 224 400
m1230.ply vehicle 2360 4325
m1556.ply vehicle 34973 119540
m1542.ply vehicle 4384 7414
m1224.ply vehicle 559 944
m1185.ply vehicle 152 338
m1191.ply vehicle 1295 2444
m1146.ply vehicle 1700 3016
m1152.ply vehicle 3726 6881
m1387.ply vehicle 225 446
m1393.ply vehicle 1020 1899
m1378.ply vehicle 2059 3804
m1344.ply vehicle 1061 1930
m1422.ply vehicle 1289 1762
m1436.ply vehicle 1704 3340
m1350.ply vehicle 1097 1976
m1420.ply vehicle 10210 19631
m1346.ply vehicle 742 1375
m1352.ply vehicle 3236 6348
m1434.ply vehicle 600 1077
m1408.ply vehicle 1293 2496
m1385.ply vehicle 11132 20663
m1391.ply vehicle 1638 2978
m1144.ply vehicle 3627 6736
m1150.ply vehicle 618 1228
m1178.ply vehicle 258 572
m1187.ply vehicle 299 596
m1193.ply vehicle 1019 2030
m1554.ply vehicle 1558 3762
m1232.ply vehicle 203 418
m1226.ply vehicle 161 318
m1540.ply vehicle 8468 16860
m1568.ply vehicle 4941 10000
m1583.ply vehicle 309 573
m1582.ply vehicle 8235 16328
m1569.ply vehicle 9579 16122
m1227.ply vehicle 265 324
m1541.ply vehicle 72676 146629
m1555.ply vehicle 16607 30255
m1233.ply vehicle 233 516
m1192.ply vehicle 242 517
m1186.ply vehicle 728 1454
m1179.ply vehicle 1203 2082
m1151.ply vehicle 856 1660
m1145.ply vehicle 37609 73748
m1390.ply vehicle 2097 3941
m1384.ply vehicle 3780 7460
m1409.ply vehicle 769 1277
m1353.ply vehicle 2124 4147
m1435.ply vehicle 4211 4887
m1421.ply vehicle 2476 4188
m1347.ply vehicle 3052 6274
m1438.ply vehicle 1309 2454
m1362.ply vehicle 13685 22929
m1404.ply vehicle 33128 62933
m1410.ply vehicle 5986 9528
m1376.ply vehicle 467 944
m1389.ply vehicle 563 1140
m1148.ply vehicle 6233 11365
m1160.ply vehicle 13568 24430
m1174.ply vehicle 281 552
m1558.ply vehicle 6936 11791
m1216.ply vehicle 879 1754
m1570.ply vehicle 1445 3479
m1564.ply vehicle 1346 2697
m1202.ply vehicle 684 1332
m1565.ply vehicle 8998 14948
m1203.ply vehicle 438 874
m1217.ply vehicle 305 594
m1571.ply vehicle 12205 23350
m1559.ply vehicle 15606 30000
m1175.ply vehicle 2344 4592
m1161.ply vehicle 1486 1692
m1149.ply vehicle 3003 5874
m1388.ply vehicle 422 789
m1411.ply vehicle 777 1368
m1377.ply vehicle 121558 205083
m1363.ply vehicle 28709 36002
m1405.ply vehicle 209 616
m1439.ply vehicle 428 848
m1349.ply vehicle 432 640
m1375.ply vehicle 1694 3431
m1413.ply vehicle 324 566
m1407.ply vehicle 3099 6073
m1361.ply vehicle 1038 2008
m1177.ply vehicle 507 1010
m1163.ply vehicle 1013 2778
m1188.ply vehicle 279 538
m1229.ply vehicle 3388 6422
m1201.ply vehicle 6739 11310
m1567.ply vehicle 162 216
m1573.ply vehicle 1461 2788
m1215.ply vehicle 160 308
m1572.ply vehicle 9613 18340
m1214.ply vehicle 882 1752
m1200.ply vehicle 197 450
m1566.ply vehicle 23624 46968
m1228.ply vehicle 329 368
m1189.ply vehicle 247 578
m1162.ply vehicle 2868 5706
m1176.ply vehicle 213 642
m1406.ply vehicle 259 894
m1360.ply vehicle 2904 4231
m1374.ply vehicle 8067 15517
m1412.ply vehicle 4459 6962
m1348.ply vehicle 747 1382
m1416.ply vehicle 11060 20920
m1370.ply vehicle 1748 3401
m1364.ply vehicle 9015 18251
m1402.ply vehicle 209 616
m1358.ply vehicle 1196 1989
m1172.ply vehicle 1965 4928
m1166.ply vehicle 349 772
m1199.ply vehicle 602 1146
m1562.ply vehicle 11902 21840
m1204.ply vehicle 277 588
m1210.ply vehicle 577 1145
m1576.ply vehicle 3519 7038
m1238.ply vehicle 196 396
m1588.ply vehicle 4400 7716
m1239.ply vehicle 428 676
m1211.ply vehicle 486 852
m1577.ply vehicle 4946 9918
m1563.ply vehicle 616 1114
m1205.ply vehicle 369 556
m1198.ply vehicle 223 462
m1167.ply vehicle 2838 3992
m1173.ply vehicle 2572 4856
m1359.ply vehicle 265 508
m1365.ply vehicle 718 1196
m1403.ply vehicle 890 1680
m1417.ply vehicle 9534 17822
m1371.ply vehicle 1558 2565
m1401.ply vehicle 13609 27535
m1367.ply vehicle 26270 51359
m1373.ply vehicle 6089 11598
m1415.ply vehicle 6373 12561
m1429.ply vehicle 749 1039
m1398.ply vehicle 4509 8748
m1165.ply vehicle 448 768
m1171.ply vehicle 3110 5622
m1159.ply vehicle 3726 6881
m1575.ply vehicle 47209 92176
m1213.ply vehicle 252 504
m1207.ply vehicle 412 669
m1561.ply vehicle 332 558
m1549.ply vehicle 381 1416
m1548.ply vehicle 8056 14914
m1206.ply vehicle 99 134
m1560.ply vehicle 21686 43584
m1574.ply vehicle 3780 7402
m1212.ply vehicle 1173 2513
m1158.ply vehicle 336 608
m1170.ply vehicle 4427 7591
m1164.ply vehicle 272 620
m1399.ply vehicle 357 613
m1428.ply vehicle 817 1083
m1372.ply vehicle 3366 6344
m1414.ply vehicle 10185 19743
m1400.ply vehicle 3574 5323
m1366.ply vehicle 568 1067
m1329.ply vehicle 665 1243
m1467.ply vehicle 574 1076
m1301.ply vehicle 74 144
m1315.ply vehicle 510 844
m1473.ply vehicle 2192 4448
m1498.ply vehicle 5514 10500
m1249.ply vehicle 310 616
m1513.ply vehicle 13106 20844
m1275.ply vehicle 204 272
m1261.ply vehicle 431 652
m1507.ply vehicle 6514 12769
m1260.ply vehicle 6906 14563
m1506.ply vehicle 4284 7879
m1512.ply vehicle 6808 11468
m1274.ply vehicle 426 684
m1248.ply vehicle 296 558
m1499.ply vehicle 15418 31813
m1314.ply vehicle 1644 2996
m1472.ply vehicle 524 846
m1466.ply vehicle 9706 18939
m1300.ply vehicle 39 76
m1328.ply vehicle 3218 6448
m1458.ply vehicle 2430 4698
m1470.ply vehicle 145 270
m1316.ply vehicle 396 682
m1302.ply vehicle 1058 1882
m1464.ply vehicle 2873 5534
m1128.ply vehicle 718 1232
m1538.ply vehicle 1830 3640
m1504.ply vehicle 1621 3269
m1262.ply vehicle 646 1032
m1276.ply vehicle 236 256
m1510.ply vehicle 54710 109357
m1289.ply vehicle 5078 9746
m1288.ply vehicle 1502 2674
m1277.ply vehicle 2239 4224
m1511.ply vehicle 10604 20577
m1505.ply vehicle 10969 21007
m1263.ply vehicle 1244 2092
m1539.ply vehicle 8254 16515
m1129.ply vehicle 3351 6272
m1303.ply vehicle 234 401
m1465.ply vehicle 6923 10583
m1471.ply vehicle 2511 3552
m1317.ply vehicle 1176 2060
m1459.ply vehicle 331 531
m1313.ply vehicle 1610 2952
m1475.ply vehicle 6045 12065
m1461.ply vehicle 12526 23024
m1307.ply vehicle 17766 34708
m1449.ply vehicle 330 660
m1139.ply vehicle 2920 4234
m1267.ply vehicle 230 335
m1501.ply vehicle 23803 47613
m1515.ply vehicle 250 391
m1273.ply vehicle 475 924
m1529.ply vehicle 4161 7412
m739.ply vehicle 794 1624
m1298.ply vehicle 301 542
m1299.ply vehicle 210 264
m738.ply vehicle 413 700
m1528.ply vehicle 18656 37254
m1514.ply vehicle 18662 36856
m1272.ply vehicle 6594 11580
m1266.ply vehicle 3408 5808
m1500.ply vehicle 1644 3260
m1138.ply vehicle 2050 3586
m1448.ply vehicle 182 328
m1460.ply vehicle 4892 9510
m1306.ply vehicle 8547 17806
m1312.ply vehicle 222 368
m1474.ply vehicle 2811 4454
m1304.ply vehicle 1066 2094
m1462.ply vehicle 4916 9500
m1476.ply vehicle 436 916
m1310.ply vehicle 1362 2668
m1338.ply vehicle 8761 16960
m1489.ply vehicle 1684 3352
m1270.ply vehicle 295 452
m1516.ply vehicle 12279 24863
m1502.ply vehicle 4970 7120
m1264.ply vehicle 1144 1996
m1258.ply vehicle 2178 3588
m1259.ply vehicle 6739 11310
m1503.ply vehicle 24786 50685
m1265.ply vehicle 423 680
m1271.ply vehicle 328 524
m1517.ply vehicle 3878 7448
m1488.ply vehicle 4952 9223
m1339.ply vehicle 1878 6173
m1477.ply vehicle 22672 44727
m1311.ply vehicle 1006 2008
m1305.ply vehicle 7105 14168
m1463.ply vehicle 629 1236
m1056.ply plant 16685 18170
m1042.ply plant 19234 15578
m1095.ply plant 1303 1445
m1081.ply plant 12847 10145
m1080.ply plant 17779 7779
m1094.ply plant 1287 1440
m1043.ply plant 22578 14248
m1057.ply plant 1366 2212
m1069.ply plant 18418 17436
m1041.ply plant 39490 34578
m1055.ply plant 31668 17804
m1082.ply plant 82 140
m1096.ply plant 835 1376
m1097.ply plant 35 31
m1083.ply plant 42566 36512
m1054.ply plant 12752 6042
m1040.ply plant 5544 1872
m1068.ply plant 1366 1892
m1044.ply plant 5544 3702
m1050.ply plant 5410 4629
m1078.ply plant 724 696
m1087.ply plant 17953 14426
m1093.ply plant 1197 1954
m1092.ply plant 337 638
m1086.ply plant 6247 6856
m1079.ply plant 155 260
m1051.ply plant 5457 4288
m1045.ply plant 13331 10170
m1053.ply plant 12581 23234
m1047.ply plant 37715 36764
m1090.ply plant 5482 10928
m1084.ply plant 28393 29426
m1085.ply plant 42566 36512
m1091.ply plant 2457 3814
m1046.ply plant 12581 23234
m1052.ply plant 342 186
m1009.ply plant 5331 6764
m1035.ply plant 1787 3360
m1021.ply plant 7639 11540
m966.ply plant 7920 5280
m972.ply plant 14382 15625
m999.ply plant 1235 1277
m998.ply plant 318 478
m973.ply plant 15489 24673
m967.ply plant 12982 16912
m1020.ply plant 18345 30014
m1034.ply plant 228 426
m1008.ply plant 5383 7952
m1022.ply plant 7882 10842
m1036.ply plant 234 401
m971.ply plant 3672 3676
m965.ply plant 13868 22999
m964.ply plant 13950 18851
m970.ply plant 1416 2292
m1037.ply plant 959 2254
m1023.ply plant 2658 3236
m1027.ply plant 3855 5054
m1033.ply plant 197 480
m974.ply plant 351 388
m961.ply plant 6513 9427
m975.ply plant 241 460
m1032.ply plant 96 156
m1026.ply plant 1519 2064
m1030.ply plant 395 692
m1024.ply plant 22423 32733
m1018.ply plant 11666 15091
m963.ply plant 11548 15008
m977.ply plant 1506 3044
m988.ply plant 3093 6000
m989.ply plant 1027 1024
m976.ply plant 1272 1889
m962.ply plant 15136 19104
m1019.ply plant 16590 21551
m1025.ply plant 6696 10794
m1031.ply plant 729 1284
m1028.ply plant 11200 12840
m1014.ply plant 16402 20144
m1000.ply plant 19105 26032
m984.ply plant 849 982
m990.ply plant 491 644
m991.ply plant 4867 6370
m985.ply plant 50833 88945
m1001.ply plant 11431 16584
m1015.ply plant 1325 2111
m1029.ply plant 316 548
m1003.ply plant 8453 10544
m1017.ply plant 13287 20016
m978.ply plant 3411 3966
m993.ply plant 218 320
m987.ply plant 850 982
m986.ply plant 6656 13512
m992.ply plant 491 644
m979.ply plant 1236 1070
m1016.ply plant 5305 7909
m1002.ply plant 8260 10184
m1006.ply plant 16333 25760
m1012.ply plant 2950 4292
m969.ply plant 9748 4697
m996.ply plant 623 1129
m982.ply plant 332 600
m983.ply plant 70 74
m997.ply plant 695 723
m968.ply plant 9018 11712
m1013.ply plant 6365 7424
m1007.ply plant 7930 8864
m1011.ply plant 7529 10680
m1005.ply plant 17830 19610
m1039.ply plant 4259 7625
m981.ply plant 927 2200
m995.ply plant 7248 8448
m994.ply plant 395 454
m980.ply plant 8937 16007
m1038.ply plant 6510 12368
m1004.ply plant 13240 17357
m1010.ply plant 6257 7196
m1077.ply plant 832 1471
m1063.ply plant 470 932
m1088.ply plant 29100 41005
m1089.ply plant 170 264
m1062.ply plant 334 692
m1076.ply plant 17880 15303
m1048.ply plant 45499 43530
m1060.ply plant 570 940
m1074.ply plant 4806 4806
m1075.ply plant 574 1132
m1061.ply plant 1078 1956
m1049.ply plant 19248 10668
m1065.ply plant 3007 1610
m1071.ply plant 1086 1812
m1059.ply plant 1058 1916
m1058.ply plant 1086 1972
m1070.ply plant 1194 1134
m1064.ply plant 2681 1800
m1072.ply plant 1356 1296
m1066.ply plant 1904 2042
m1098.ply plant 3439 3701
m1067.ply plant 1058 1756
m1073.ply plant 8197 10218
m1678.ply miscellaneous 628 1022
m1644.ply miscellaneous 653 1201
m1650.ply miscellaneous 5135 5327
m332.ply miscellaneous 1198 2392
m326.ply miscellaneous 1521 2828
m1687.ply miscellaneous 237 393
m1693.ply miscellaneous 531 879
m285.ply miscellaneous 11162 22403
m291.ply miscellaneous 1831 3540
m520.ply miscellaneous 150 272
m736.ply miscellaneous 504 972
m290.ply miscellaneous 790 1420
m284.ply miscellaneous 18386 36758
m1692.ply miscellaneous 898 1502
m1686.ply miscellaneous 2474 4860
m327.ply miscellaneous 386 768
m333.ply miscellaneous 1023 2043
m1651.ply miscellaneous 1273 1337
m1645.ply miscellaneous 861 1734
m1679.ply miscellaneous 417 786
m1653.ply miscellaneous 26064 35805
m1647.ply miscellaneous 5138 9152
m325.ply miscellaneous 1546 2878
m331.ply miscellaneous 421 837
m1690.ply miscellaneous 258 422
m319.ply miscellaneous 2342 4374
m1684.ply miscellaneous 44 76
m292.ply miscellaneous 430 808
m286.ply miscellaneous 4004 8066
m735.ply miscellaneous 720 1400
m734.ply miscellaneous 1396 1816
m287.ply miscellaneous 32622 65035
m293.ply miscellaneous 941 1794
m1685.ply miscellaneous 760 1344
m318.ply miscellaneous 2278 4356
m1691.ply miscellaneous 2628 5232
m330.ply miscellaneous 799 1710
m324.ply miscellaneous 25001 49998
m1646.ply miscellaneous 6529 10335
m1652.ply miscellaneous 2273 3112
m1656.ply miscellaneous 9894 17091
m1642.ply miscellaneous 238 360
m1695.ply miscellaneous 1718 3384
m1681.ply miscellaneous 6540 13032
m308.ply miscellaneous 2307 4452
m320.ply miscellaneous 794 1447
m334.ply miscellaneous 114 204
m297.ply miscellaneous 786 1406
m283.ply miscellaneous 17533 35414
m296.ply miscellaneous 800 1458
m335.ply miscellaneous 7929 15855
m321.ply miscellaneous 7013 13338
m309.ply miscellaneous 2017 3961
m1680.ply miscellaneous 360 708
m1694.ply miscellaneous 560 1104
m1643.ply miscellaneous 1800 3544
m1657.ply miscellaneous 1292 2136
m1655.ply miscellaneous 14710 16111
m1682.ply miscellaneous 4492 8804
m1696.ply miscellaneous 2449 5010
m337.ply miscellaneous 1925 3846
m323.ply miscellaneous 43386 86361
m294.ply miscellaneous 939 1790
m519.ply miscellaneous 134 264
m733.ply miscellaneous 644 1296
m518.ply miscellaneous 1132 2220
m295.ply miscellaneous 472 896
m322.ply miscellaneous 786 1406
m336.ply miscellaneous 1557 3110
m1697.ply miscellaneous 293 484
m1683.ply miscellaneous 3000 5896
m1654.ply miscellaneous 5535 9290
m621.ply miscellaneous 778 1528
m351.ply miscellaneous 881 1646
m1814.ply miscellaneous 944 1756
m345.ply miscellaneous 2687 4801
m379.ply miscellaneous 621 1246
m1784.ply miscellaneous 2641 7017
m741.ply miscellaneous 722 1422
m1785.ply miscellaneous 2271 4556
m378.ply miscellaneous 7172 14208
m344.ply miscellaneous 1988 3564
m350.ply miscellaneous 2034 3946
m620.ply miscellaneous 5584 11058
m622.ply miscellaneous 54 88
m1624.ply miscellaneous 50184 100400
m346.ply miscellaneous 484 919
m352.ply miscellaneous 664 1197
m1803.ply miscellaneous 670 1209
m1787.ply miscellaneous 28696 29792
m742.ply miscellaneous 256 508
m743.ply miscellaneous 512 1020
m1786.ply miscellaneous 11059 21830
m1779.ply miscellaneous 2448 4704
m353.ply miscellaneous 7896 15788
m347.ply miscellaneous 906 2070
m1625.ply miscellaneous 672 1027
m623.ply miscellaneous 68 120
m1621.ply miscellaneous 400 724
m380.ply miscellaneous 702 1243
m343.ply miscellaneous 1982 3747
m1812.ply miscellaneous 731 1430
m357.ply miscellaneous 193 384
m1806.ply miscellaneous 143 190
m1755.ply miscellaneous 92561 185092
m1782.ply miscellaneous 4891 9617
m579.ply miscellaneous 384 576
m747.ply miscellaneous 128 252
m746.ply miscellaneous 80 128
m578.ply miscellaneous 714 1010
m1783.ply miscellaneous 936 1234
m1754.ply miscellaneous 288 564
m356.ply miscellaneous 692 1380
m1813.ply miscellaneous 773 1472
m342.ply miscellaneous 1543 2688
m381.ply miscellaneous 10952 22104
m1620.ply miscellaneous 301 888
m618.ply miscellaneous 1622 3232
m624.ply miscellaneous 46 76
m1622.ply miscellaneous 1054 2130
m368.ply miscellaneous 2991 5728
m1805.ply miscellaneous 1336 2450
m354.ply miscellaneous 216 426
m1811.ply miscellaneous 453 1358
m340.ply miscellaneous 1426 2790
m1756.ply miscellaneous 394 758
m1781.ply miscellaneous 15740 24713
m744.ply miscellaneous 3721 7442
m745.ply miscellaneous 830 1660
m1780.ply miscellaneous 14944 23394
m1757.ply miscellaneous 564 1118
m341.ply miscellaneous 1884 3604
m355.ply miscellaneous 17358 34712
m1804.ply miscellaneous 400 778
m369.ply miscellaneous 9843 19492
m1623.ply miscellaneous 21006 40348
m619.ply miscellaneous 361 696
m370.ply miscellaneous 5641 10543
m364.ply miscellaneous 263 465
m358.ply miscellaneous 1173 2260
m576.ply miscellaneous 234 154
m748.ply miscellaneous 1247 2490
m749.ply miscellaneous 160 315
m577.ply miscellaneous 172 118
m359.ply miscellaneous 314 615
m365.ply miscellaneous 17666 35328
m371.ply miscellaneous 30743 61334
m617.ply miscellaneous 4440 8828
m367.ply miscellaneous 977 1852
m373.ply miscellaneous 1594 3166
m1759.ply miscellaneous 424 840
m575.ply miscellaneous 192 130
m574.ply miscellaneous 112 82
m1758.ply miscellaneous 774 1520
m372.ply miscellaneous 711 1419
m366.ply miscellaneous 3000 5951
m362.ply miscellaneous 186 360
m376.ply miscellaneous 698 1243
m377.ply miscellaneous 1306 2294
m363.ply miscellaneous 1884 3604
m349.ply miscellaneous 26749 51893
m375.ply miscellaneous 711 1417
m361.ply miscellaneous 295 557
m1788.ply miscellaneous 494 916
m573.ply miscellaneous 1247 2472
m360.ply miscellaneous 270 536
m374.ply miscellaneous 886 1770
m348.ply miscellaneous 9148 18008
m1659.ply miscellaneous 5780 10712
m1665.ply miscellaneous 7089 13409
m1671.ply miscellaneous 119 113
m313.ply miscellaneous 2551 4920
m307.ply miscellaneous 1581 2955
m298.ply miscellaneous 794 1447
m515.ply miscellaneous 94 168
m514.ply miscellaneous 49 59
m299.ply miscellaneous 44261 87892
m306.ply miscellaneous 3390 6226
m312.ply miscellaneous 2085 4052
m1670.ply miscellaneous 221 217
m1664.ply miscellaneous 1049 1948
m1658.ply miscellaneous 16857 16061
m1672.ply miscellaneous 231 299
m304.ply miscellaneous 19324 37922
m310.ply miscellaneous 2045 3984
m338.ply miscellaneous 1547 3090
m516.ply miscellaneous 70 110
m517.ply miscellaneous 70 112
m339.ply miscellaneous 2248 4466
m311.ply miscellaneous 3300 6468
m305.ply miscellaneous 1174 2158
m1673.ply miscellaneous 80 86
m113.ply miscellaneous 6100 11092
m117.ply miscellaneous 2284 4316
m1677.ply miscellaneous 152 290
m1663.ply miscellaneous 1636 1767
m329.ply miscellaneous 6191 12378
m1688.ply miscellaneous 3248 6424
m301.ply miscellaneous 17526 34333
m315.ply miscellaneous 3071 5949
m314.ply miscellaneous 3651 7055
m300.ply miscellaneous 889 1654
m1689.ply miscellaneous 316 624
m328.ply miscellaneous 6038 12072
m1662.ply miscellaneous 9201 17394
m1676.ply miscellaneous 4031 8034
m116.ply miscellaneous 26926 51956
m114.ply miscellaneous 2910 5418
m1660.ply miscellaneous 2341 4217
m1674.ply miscellaneous 50 78
m1648.ply miscellaneous 6615 7853
m316.ply miscellaneous 3529 6668
m302.ply miscellaneous 2081 3972
m289.ply miscellaneous 2749 5218
m288.ply miscellaneous 618 1208
m303.ply miscellaneous 160940 316498
m317.ply miscellaneous 787 1440
m1649.ply miscellaneous 3153 3119
m1675.ply miscellaneous 40 52
m1661.ply miscellaneous 1335 2022
m115.ply miscellaneous 2873 5399
m859.ply furniture 2556 4716
m871.ply furniture 60 184
m865.ply furniture 253 318
m939.ply furniture 398 604
m905.ply furniture 48 68
m911.ply furniture 44 62
m910.ply furniture 352 1136
m904.ply furniture 128 152
m938.ply furniture 422 840
m864.ply furniture 320 406
m870.ply furniture 48 92
m858.ply furniture 48 28
m866.ply furniture 219 274
m872.ply furniture 2229 4413
m899.ply furniture 288 348
m912.ply furniture 36 60
m906.ply furniture 178 312
m907.ply furniture 158 214
m913.ply furniture 104 188
m898.ply furniture 288 348
m873.ply furniture 677 1206
m867.ply furniture 72 108
m863.ply furniture 286 362
m877.ply furniture 56 84
m888.ply furniture 36 60
m917.ply furniture 96 172
m903.ply furniture 40 60
m902.ply furniture 198 372
